station.id,site,latitude,longitude,elevation.m,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USW00003904,Brazos_2020_18,30.5892,-96.3647,93,2021,1,3.04,51.4,3.7,62.1,4.3,40.6,3.4
USW00003904,Brazos_2020_18,30.5892,-96.3647,93,2021,2,2.26,55.5,4.3,66.1,5.2,45,4.1
USW00003904,Brazos_2020_18,30.5892,-96.3647,93,2021,3,3.84,63.3,3.6,73.8,3.3,52.7,4.2
USW00003904,Brazos_2020_18,30.5892,-96.3647,93,2021,4,2.85,69.1,2.9,79.7,3.2,58.5,2.8
USW00003904,Brazos_2020_18,30.5892,-96.3647,93,2021,5,5.13,76.4,1.7,86.3,2.2,66.5,1.7
USW00003904,Brazos_2020_18,30.5892,-96.3647,93,2021,6,3.12,83.2,1.8,93.1,2.9,73.4,1.2
USW00003904,Brazos_2020_18,30.5892,-96.3647,93,2021,7,2.2,85.4,1.8,95.5,2.9,75.3,1.2
USW00003904,Brazos_2020_18,30.5892,-96.3647,93,2021,8,3.25,86.5,1.8,97.5,2.9,75.6,1
USW00003904,Brazos_2020_18,30.5892,-96.3647,93,2021,9,3.83,80.9,1.9,91,2.8,70.7,1.9
USW00003904,Brazos_2020_18,30.5892,-96.3647,93,2021,10,4.58,71.1,1.7,82.3,2.3,59.8,2
USW00003904,Brazos_2020_18,30.5892,-96.3647,93,2021,11,2.54,61.2,3.3,72.2,3.9,50.2,3.1
USW00003904,Brazos_2020_18,30.5892,-96.3647,93,2021,12,3.5,53.5,2.8,64,3.6,43.1,2.9
