station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USC00413485,Bell_2020_05,31.4144,-97.7019,251.8,6/19/20,i,2020,1,2.53,48.2,3.7,60.8,4.9,35.5,3.6
USC00413485,Bell_2020_05,31.4144,-97.7019,251.8,6/19/20,i,2020,2,2.06,51.5,4.5,64.4,5.7,38.6,4.1
USC00413485,Bell_2020_05,31.4144,-97.7019,251.8,6/19/20,i,2020,3,3.76,60.5,3.4,72.6,3,48.4,4.2
USC00413485,Bell_2020_05,31.4144,-97.7019,251.8,6/19/20,i,2020,4,3.61,67.3,2.9,79.4,3,55.2,3.1
USC00413485,Bell_2020_05,31.4144,-97.7019,251.8,6/19/20,i,2020,5,4.71,74.7,1.8,85.8,2.2,63.5,2
USC00413485,Bell_2020_05,31.4144,-97.7019,251.8,6/19/20,i,2020,6,3.29,82.2,2.1,93.6,2.7,70.8,1.9
USC00413485,Bell_2020_05,31.4144,-97.7019,251.8,6/19/20,i,2020,7,3.06,84.7,2.6,96.6,4,72.8,1.9
USC00413485,Bell_2020_05,31.4144,-97.7019,251.8,6/19/20,i,2020,8,2.53,85.6,1.9,98,2.8,73.1,1.7
USC00413485,Bell_2020_05,31.4144,-97.7019,251.8,6/19/20,i,2020,9,3.68,79,2.1,91.3,3.1,66.8,2
USC00413485,Bell_2020_05,31.4144,-97.7019,251.8,6/19/20,i,2020,10,4.72,68.5,2.2,81.4,2.7,55.6,2.5
USC00413485,Bell_2020_05,31.4144,-97.7019,251.8,6/19/20,i,2020,11,1.81,57.9,3.7,70.3,3.9,45.6,4.1
USC00413485,Bell_2020_05,31.4144,-97.7019,251.8,6/19/20,i,2020,12,1.9,49.1,2.4,61.3,3.3,36.9,2.9
