station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USC00411013,Uvalde_2020_02,29.61,-100.4519,536.4,6/28/21,p,2021,1,0.99,48.8,3.3,62.3,4.4,35.4,2.9
USC00411013,Uvalde_2020_02,29.61,-100.4519,536.4,6/28/21,p,2021,2,0.81,53.7,3,67.4,4.2,39.9,2.7
USC00411013,Uvalde_2020_02,29.61,-100.4519,536.4,6/28/21,p,2021,3,1.97,61.5,3.5,74.4,3.6,48.6,4.4
USC00411013,Uvalde_2020_02,29.61,-100.4519,536.4,6/28/21,p,2021,4,1.49,67.8,2.8,81.1,4.1,54.6,2.6
USC00411013,Uvalde_2020_02,29.61,-100.4519,536.4,6/28/21,p,2021,5,4.48,74.3,2.3,85.5,4.2,63.1,1.4
USC00411013,Uvalde_2020_02,29.61,-100.4519,536.4,6/28/21,p,2021,6,2.24,80.6,2.4,91.8,4.1,69.4,1.2
USC00411013,Uvalde_2020_02,29.61,-100.4519,536.4,6/28/21,p,2021,7,2.28,82.5,2.3,93.7,3.8,71.4,1.3
USC00411013,Uvalde_2020_02,29.61,-100.4519,536.4,6/28/21,p,2021,8,2.01,83.4,1.7,95,2.6,71.8,1
USC00411013,Uvalde_2020_02,29.61,-100.4519,536.4,6/28/21,p,2021,9,3.7,77.2,1.7,88.5,2.8,65.9,2.1
USC00411013,Uvalde_2020_02,29.61,-100.4519,536.4,6/28/21,p,2021,10,2.2,68.6,1.4,80.7,2.6,56.4,2.1
USC00411013,Uvalde_2020_02,29.61,-100.4519,536.4,6/28/21,p,2021,11,0.97,58.5,3.3,71,4.2,45.9,3.4
USC00411013,Uvalde_2020_02,29.61,-100.4519,536.4,6/28/21,p,2021,12,1.11,50.1,2.3,63.4,4,36.9,3.3
