"treatment","df","coef","Chisq","P_value"
"Intercept","-"," 3.79e+00","-","-"
"Soil moisture (SM)","1"," 8.96e-02","9.33","0.002"
"Soil N (N)","1","-1.87e-02","18.356","<0.001"
"PFT","2","-","65.715","<0.001"
"SM * N","1"," 5.88e-03","0.217","0.641"
"SM * PFT","2","-","38.968","<0.001"
"N * PFT","2","-","3.581","0.167"
"SM * N * PFT","2","-","0.386","0.825"
