"site","latitude","longitude","date","daily.prcp","daily.tmean","daily.tmax","daily.tmin","daily.vpdmax","daily.vpdmin"
"Bell_2020_05",31.0894,-97.413218,2019-06-01,3.1010000705719,25.3374996185303,30.3640003204346,20.3110008239746,19.7649993896484,0.583000004291534
"Bell_2020_05",31.0894,-97.413218,2019-06-02,0.199000000953674,26.8903999328613,32.7379989624023,21.0429992675781,23.9529991149902,0.501999974250793
"Bell_2020_05",31.0894,-97.413218,2019-06-03,0,26.9804992675781,32.8230018615723,21.1380004882812,25.3339996337891,0.860000014305115
"Bell_2020_05",31.0894,-97.413218,2019-06-04,0,27.9969997406006,33.0390014648438,22.9549999237061,25.9829998016357,1.2150000333786
"Bell_2020_05",31.0894,-97.413218,2019-06-05,10.0830001831055,25.8034992218018,28.9500007629395,22.6569995880127,13.4589996337891,0.34799998998642
"Bell_2020_05",31.0894,-97.413218,2019-06-06,13.1099996566772,23.3899993896484,28.3299999237061,18.4500007629395,9.96700000762939,0.0489999987185001
"Bell_2020_05",31.0894,-97.413218,2019-06-07,0,25.433500289917,32.0120010375977,18.8549995422363,25.6870002746582,0.414000004529953
"Bell_2020_05",31.0894,-97.413218,2019-06-08,0,25.8419990539551,31.5769996643066,20.1070003509521,24.3910007476807,1.51600003242493
"Bell_2020_05",31.0894,-97.413218,2019-06-09,0,28.4294986724854,34.8660011291504,21.9930000305176,34.0099983215332,2.57200002670288
"Bell_2020_05",31.0894,-97.413218,2019-06-10,17.3910007476807,28.9939994812012,35.4930000305176,22.4950008392334,28.9759998321533,1.55799996852875
"Bell_2020_05",31.0894,-97.413218,2019-06-11,0,24.2360000610352,28.7980003356934,19.673999786377,20.2210006713867,5.16900014877319
"Bell_2020_05",31.0894,-97.413218,2019-06-12,0,22.3038997650146,27.5189990997314,17.0890007019043,19.8229999542236,0.797999978065491
"Bell_2020_05",31.0894,-97.413218,2019-06-13,0,24.0343990325928,31.261999130249,16.806999206543,27.2439994812012,0.382999986410141
"Bell_2020_05",31.0894,-97.413218,2019-06-14,0,25.0133991241455,30.681999206543,19.3449993133545,29.5939998626709,4.84899997711182
"Bell_2020_05",31.0894,-97.413218,2019-06-15,0,26.7360000610352,32.3860015869141,21.0860004425049,25.6089992523193,3
"Bell_2020_05",31.0894,-97.413218,2019-06-16,0,29.3279991149902,34.1790008544922,24.4769992828369,29.4740009307861,4.05800008773804
"Bell_2020_05",31.0894,-97.413218,2019-06-17,59.7099990844727,26.2608985900879,33.6129989624023,18.9090003967285,25.9060001373291,0.591000020503998
"Bell_2020_05",31.0894,-97.413218,2019-06-18,0,24.7080001831055,29.507999420166,19.9080009460449,16.3810005187988,0.847000002861023
"Bell_2020_05",31.0894,-97.413218,2019-06-19,0.624000012874603,27.8003997802734,33.7789993286133,21.82200050354,27.6949996948242,1.61699998378754
"Bell_2020_05",31.0894,-97.413218,2019-06-20,7.99300003051758,28.0363998413086,35.1469993591309,20.9260005950928,28.2700004577637,1.19799995422363
"Bell_2020_05",31.0894,-97.413218,2019-06-21,0,29.3629989624023,34.6710014343262,24.0550003051758,24.0550003051758,2.77900004386902
"Bell_2020_05",31.0894,-97.413218,2019-06-22,0,29.9883995056152,34.398998260498,25.5779991149902,25.6730003356934,2.90700006484985
"Bell_2020_05",31.0894,-97.413218,2019-06-23,0,29.013500213623,32.4830017089844,25.5440006256104,19.048999786377,4.25500011444092
"Bell_2020_05",31.0894,-97.413218,2019-06-24,49.3320007324219,26.6253986358643,34.0699996948242,19.1809997558594,23.9419994354248,1.23800003528595
"Bell_2020_05",31.0894,-97.413218,2019-06-25,1.78900003433228,21.5453987121582,23.67799949646,19.4130001068115,6.85599994659424,1.02499997615814
"Bell_2020_05",31.0894,-97.413218,2019-06-26,0,26.1104984283447,32.2910003662109,19.9300003051758,23.136999130249,0.772000014781952
"Bell_2020_05",31.0894,-97.413218,2019-06-27,0.187000006437302,26.3913993835449,32.1129989624023,20.6700000762939,20.9610004425049,0.560000002384186
"Bell_2020_05",31.0894,-97.413218,2019-06-28,0,27.4974994659424,33.2490005493164,21.746000289917,24.3419990539551,0.717000007629395
"Bell_2020_05",31.0894,-97.413218,2019-06-29,0,27.5254993438721,33.0870018005371,21.9640007019043,25.2399997711182,0.878000020980835
"Bell_2020_05",31.0894,-97.413218,2019-06-30,12.3970003128052,27.1323986053467,34.3400001525879,19.9249992370605,34.2639999389648,0.912000000476837
"Bell_2020_05",31.0894,-97.413218,2019-07-01,5.30299997329712,25.6145000457764,30.3929996490479,20.8360004425049,17.9349994659424,0.569000005722046
"Bell_2020_05",31.0894,-97.413218,2019-07-02,0,27.5339984893799,32.2620010375977,22.8059997558594,23.3929996490479,0.708999991416931
"Bell_2020_05",31.0894,-97.413218,2019-07-03,0,27.850399017334,32.9949989318848,22.7059993743896,24.5279998779297,0.671999990940094
"Bell_2020_05",31.0894,-97.413218,2019-07-04,0.221000000834465,28.2799987792969,32.8440017700195,23.7159996032715,22.3090000152588,0.998000025749207
"Bell_2020_05",31.0894,-97.413218,2019-07-05,0,28.6169986724854,32.9780006408691,24.2560005187988,24.5,1.19000005722046
"Bell_2020_05",31.0894,-97.413218,2019-07-06,0,29.0143985748291,34.1059989929199,23.9230003356934,27.1270008087158,1.14400005340576
"Bell_2020_05",31.0894,-97.413218,2019-07-07,0,28.9154987335205,34.109001159668,23.7220001220703,26.4249992370605,0.77700001001358
"Bell_2020_05",31.0894,-97.413218,2019-07-08,0,29.3983993530273,34.6879997253418,24.1089992523193,28.1700000762939,1.15400004386902
