"site","latitude","longitude","month","norm.prcp","sd.prcp","norm.tmean","sd.tmean","norm.tmax","sd.tmax","norm.tmin","sd.tmin","norm.vpdmax","sd.vpdmax","norm.vpdmin","sd.vpdmin"
"Austin_2020_03",29.776805,-96.24351,1,88.2369668006897,51.770992370754,10.9407672564189,1.92690791187964,16.9717000007629,2.30910368178852,4.91106666326523,1.87599057712123,9.91186674435933,2.18466316934838,0.486866667370001,0.222373676604658
"Austin_2020_03",29.776805,-96.24351,2,67.5170671780904,50.9394822817198,13.0614506403605,2.04426904151161,19.012566502889,2.36198384524853,7.1118000348409,2.11523190814261,11.2018667221069,2.89524880274327,0.516799999152621,0.239169449743636
"Austin_2020_03",29.776805,-96.24351,3,84.5360664367676,54.7793078542457,16.5219674428304,1.96632409849167,22.5260666529338,1.83889573094219,10.519066731135,2.27813228530542,13.9315332730611,2.04367628777672,0.532066667576631,0.246036574005353
"Austin_2020_03",29.776805,-96.24351,4,93.2855331361294,82.0950245025672,20.0878307978312,1.45173730086382,26.0442333221436,1.47094585200708,14.1325000762939,1.70510544211261,17.0504333178202,2.8859363417211,0.664199998478095,0.318627374944807
"Austin_2020_03",29.776805,-96.24351,5,112.923799526691,78.7030487993182,24.2504945119222,1.1199895760843,29.8247664769491,1.36197014876694,18.6774332682292,1.15047372294685,20.5331334114075,3.72313095785281,0.663566663364569,0.41235561027159
"Austin_2020_03",29.776805,-96.24351,6,107.656532939275,77.9249007841694,27.5676112492879,0.884561420925496,33.2085332870483,1.44127940687006,21.9281000773112,0.828291328992359,26.3585000356038,5.99796302528594,0.797900000400841,0.503604823463491
"Austin_2020_03",29.776805,-96.24351,7,77.208266321818,69.9835041277133,28.6445978800456,0.894171621027458,34.6992001215617,1.51951357661213,22.5908334096273,0.858422884681502,29.9038333257039,6.33466096703295,0.450400002797445,0.390035065141211
"Austin_2020_03",29.776805,-96.24351,8,93.0669992129008,115.065348343821,28.9512645721436,0.921327013130126,35.2794328053792,1.42559331924227,22.6243335088094,0.744022149281102,32.4734000523885,5.81914252319112,0.517533332792421,0.398733402177495
"Austin_2020_03",29.776805,-96.24351,9,106.02829990387,73.5483586021019,26.2272143681844,1.08059803774417,32.4283331553141,1.57867843007383,20.0275333404541,1.28461572831628,26.614666557312,6.13451274666497,0.694033331905181,0.564426445897346
"Austin_2020_03",29.776805,-96.24351,10,120.258666419983,110.915759402183,21.3764773050944,0.914382562800615,28.0316999435425,1.16839153787169,14.7223333040873,1.51847494093384,20.5858999570211,3.77582398066819,0.561666660010815,0.29190117306342
"Austin_2020_03",29.776805,-96.24351,11,101.508200295766,77.5940424922377,15.8663974761963,1.9352694233156,22.2976001103719,2.27340012453878,9.43629994392395,1.9481569137212,13.8590999921163,3.15415530666056,0.454833334560196,0.223951821689885
"Austin_2020_03",29.776805,-96.24351,12,85.3811328887939,54.9368100474363,11.9704304695129,1.47704806937848,18.1118999481201,1.68694253186033,5.83006672859192,1.88178549171431,10.1133666833242,2.05486849079336,0.387566667795181,0.206572802789346
"Bandera_2020_03",29.850369,-99.304193,1,52.2824000517527,39.7464702649116,8.83933380444845,1.69769707882174,16.5008667310079,2.17996377216633,1.17883334855239,1.87175253844658,12.178799978892,2.79164694047769,0.602633339663347,0.277406776576528
"Bandera_2020_03",29.850369,-99.304193,2,43.6255336552858,36.8895148870604,11.1083972454071,1.8652221997665,18.8284000396729,2.46068720436713,3.3897000329569,1.89263930854865,14.6292998949687,3.66952320513544,0.735733338197072,0.416135173058945
"Bandera_2020_03",29.850369,-99.304193,3,73.1734327395757,54.819242896098,14.955367342631,1.77373581596229,22.4474000295003,1.75073602811099,7.46450000603994,2.16862269624862,17.6044332186381,2.86589154476011,0.958699999252955,0.451911497720098
"Bandera_2020_03",29.850369,-99.304193,4,63.2275661538045,57.4869952276158,18.5929341634115,1.48359991196128,26.0797000249227,1.73726140650481,11.107266775767,1.78778667591766,21.6347332954407,4.36723748605776,1.15079999963442,0.480765797971538
"Bandera_2020_03",29.850369,-99.304193,5,119.804666900635,85.4857461557973,22.9173976898193,1.25218378967934,29.4098333994548,1.68828429117401,16.4260334332784,1.29306548760413,24.1192332267761,5.1455551349981,1.33210000097752,0.575345917259459
"Bandera_2020_03",29.850369,-99.304193,6,89.6029332915942,79.7280102946448,26.3682977676392,1.06281822463356,32.7657336552938,1.57092402708057,19.9719667434692,0.885115462921109,30.0074000676473,6.23030960411191,1.66270000040531,0.678700229124203
"Bandera_2020_03",29.850369,-99.304193,7,81.8172659784555,153.065601995568,27.573584429423,1.016967453679,34.227333577474,1.72512624164782,20.9208999633789,0.695470041418658,35.2296663920085,7.02859142945403,1.74856666326523,0.84124549015036
"Bandera_2020_03",29.850369,-99.304193,8,55.6126005252202,55.2958532844303,27.6977645874023,0.893187277147973,34.9208329518636,1.47099941113546,20.475833384196,0.714045397636578,38.1494333902995,6.19533379124262,1.67293333411217,0.716695127479033
"Bandera_2020_03",29.850369,-99.304193,9,104.027067724864,91.9942379541103,24.4858143488566,1.11594921124193,31.4828333536784,1.69795314566778,17.4899667104085,1.25897084064253,28.9722333272298,6.45459403175468,1.25216666571796,0.814371106550034
"Bandera_2020_03",29.850369,-99.304193,10,81.4089005996784,66.970067242149,19.514094098409,0.909244017906694,26.8352333704631,1.41780049786641,12.1944332440694,1.67130695417695,21.6860000610352,4.11648594308696,0.965333332618078,0.418737377580997
