"site","map.mm","mat.c","tmax","tmin","vpdmax","vpdmin"
"2020eco_Bell",952.202799821397,19.3415472070376,25.6139305167728,13.0704055464102,20.8877305812306,1.5448388890622
"2020eco_Bexar",774.984133540591,21.2892734739516,27.5596249288983,15.0201583461629,23.6019666830699,1.64221389078432
"2020eco_Blanco",875.399868957388,18.9981791337331,25.6196277750863,12.3779777588116,21.0998500121964,1.04788333336312
"2020eco_Brazos18",1105.81233457203,20.3281225217713,26.4108527633879,14.2467166432076,20.4722444852193,1.04795833217601
"2020eco_Comal",903.403665441275,19.6657816807429,26.2277861436208,13.105013887667,22.0238166266018,1.20618333209616
"2020eco_Edwards",592.405799780088,18.8677507758141,25.3378832923041,12.3988638805225,21.6815861463547,1.73555555658208
"2020eco_Fayette",1043.79169859036,20.5002031087875,26.5479360659917,14.4536722325616,20.734452799956,1.09046111133777
"2020eco_Harris",1466.6363013953,21.3274956703186,26.3609333806568,16.2952110773987,17.7367110980882,1.40004722062084
"2020eco_Menard",638.846532785423,18.3031930261188,25.7864499966303,10.821097233995,23.6344194279777,1.41397777483281
"2020eco_Russel",969.686699481805,20.1888128386603,26.2819833093219,14.096874992715,20.570416604148,1.13657499816683
"2020eco_Sansaba",753.164033034413,18.8213389012549,25.7593638923433,11.8844278117021,22.8289305196868,1.4850749928944
"2020eco_Uvalde",665.318434245512,19.295189997885,26.0696360905965,12.521944458286,22.3577472236421,1.40806388619045
"2020eco_Williamson09",868.505567092448,19.5254002597597,25.8071499639087,13.24489720828,21.3074944390191,1.65387222163586
"2020eco_Williamson10",857.562467574949,19.7274741795328,26.0960917790731,13.360052755475,21.7016083386209,1.53173333754142
"2021eco_Austin",1137.60753106078,20.4555419974857,26.5363360272513,14.3759472572141,19.3781333393521,0.560619443850333
"2021eco_Bandera",874.829733977715,18.7854094266891,25.9582000520494,11.6138083561582,22.5820388436317,1.11880277822622
"2021eco_Bell",949.761598561394,19.4435408393542,25.8701832665337,13.0181222219434,21.733744360341,1.68400000282434
"2021eco_Brazos16",1088.077969865,20.1133836428324,26.245558418168,13.982383359069,20.3099722133742,1.06404166693489
"2021eco_Brazos18",1105.81233457203,20.3281225217713,26.4108527633879,14.2467166432076,20.4722444852193,1.04795833217601
"2021eco_Burnet12",832.632498091195,19.1570458703571,25.3847277376387,12.9306000095275,20.7582472589281,1.60322500396934
"2021eco_Burnet14",760.416701840547,19.2319702943166,25.5633417526881,12.9017722144619,21.4596527602937,1.72260555380748
"2021eco_Comal",890.660933894043,19.1070227967368,25.6707111438115,12.5445472291774,21.1189583102862,1.11778333077932
"2021eco_Fayette09",1034.63753073513,20.6911936826176,26.6964971939723,14.6871222429805,20.7737249864472,1.02945277765393
"2021eco_Fayette12",990.594598510737,20.3151075363159,26.6275944550832,14.0038083218038,21.0037527587679,0.922108333454364
"2021eco_Harris",1466.6363013953,21.3274956703186,26.3609333806568,16.2952110773987,17.7367110980882,1.40004722062084
"2021eco_Hays",915.053567636712,19.8628483348423,26.0702332894007,13.6566527980897,21.2693610946337,1.4942805506289
"2021eco_Kerr",719.206032872945,18.2085291319423,25.2606805642446,11.1575806055321,21.6938666913244,1.25485000376486
"2021eco_Menard",638.846532785423,18.3031930261188,25.7864499966303,10.821097233995,23.6344194279777,1.41397777483281
"2021eco_Uvalde",665.318434245512,19.295189997885,26.0696360905965,12.521944458286,22.3577472236421,1.40806388619045
"2021eco_Washington",1085.87936929961,20.3356166760127,26.3956222428216,14.2767638620403,20.2246166189512,0.941858334342639
