station.id,site,latitude,longitude,elevation.m,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,1,68.072,9.5,2.0016,16.11,2.2796,2.94,1.946
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,2,36.322,11.67,2.224,18.33,2.8912,5.06,1.8904
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,3,77.47,16.22,1.8904,22.83,1.7792,9.61,2.2796
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,4,64.516,19.61,1.7236,26.22,2.0016,12.94,1.6124
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,5,119.634,23.61,1.2232,29.5,1.6124,17.72,1.2232
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,6,85.598,27.61,1.2788,33.72,1.946,21.5,1.0008
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,7,87.63,28.89,1.1676,35.11,1.946,22.72,0.6672
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,8,48.514,29.56,1.112,36.28,1.7236,22.83,0.6672
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,9,112.014,25.94,1.3344,32.17,2.0572,19.72,1.2232
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,10,111.506,20.5,1.0008,27.17,1.5012,13.83,1.1676
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,11,49.276,14.78,1.946,21.17,2.224,8.44,2.0016
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,12,60.198,10.33,1.3344,16.44,1.8348,4.28,1.4456
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,1,58.674,8.44,1.8904,15.5,2.224,1.33,1.8904
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,2,35.56,10.72,1.946,17.72,2.502,3.72,2.0572
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,3,71.374,15.22,1.7792,22,1.6124,8.5,2.3908
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,4,72.898,18.56,2.1684,25.61,2.2796,11.5,2.3352
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,5,156.464,22.44,1.0008,28.61,1.6124,16.22,1.5568
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,6,53.34,26.44,1.0008,32.44,1.668,20.39,0.9452
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,7,44.196,27.78,1.112,34.06,1.946,21.5,0.8896
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,8,47.498,28.22,0.8896,35.11,1.668,21.33,0.5004
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,9,111.76,24.61,1.39,31.39,1.7236,17.83,1.946
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,10,87.376,19.44,0.9452,26.5,1.4456,12.33,1.39
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,11,52.324,14,1.8904,20.94,2.1684,7.06,1.946
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,12,45.212,9.61,1.3344,16.5,2.1684,2.78,1.7236
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,2021,1,58.674,8.44,1.8904,15.5,2.224,1.33,1.8904
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,2021,2,35.56,10.72,1.946,17.72,2.502,3.72,2.0572
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,2021,3,71.374,15.22,1.7792,22,1.6124,8.5,2.3908
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,2021,4,72.898,18.56,2.1684,25.61,2.2796,11.5,2.3352
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,2021,5,156.464,22.44,1.0008,28.61,1.6124,16.22,1.5568
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,2021,6,53.34,26.44,1.0008,32.44,1.668,20.39,0.9452
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,2021,7,44.196,27.78,1.112,34.06,1.946,21.5,0.8896
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,2021,8,47.498,28.22,0.8896,35.11,1.668,21.33,0.5004
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,2021,9,111.76,24.61,1.39,31.39,1.7236,17.83,1.946
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,2021,10,87.376,19.44,0.9452,26.5,1.4456,12.33,1.39
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,2021,11,52.324,14,1.8904,20.94,2.1684,7.06,1.946
