"site","sampling.year","visit.type","ho.30","hn.30","ppfd.30","cond.30","eet.30","pet.30","aet.30","wn.30","ai.30","pt.30","ho.60","hn.60","ppfd.60","cond.60","eet.60","pet.60","aet.60","wn.60","ai.60","pt.60","ho.90","hn.90","ppfd.90","cond.90","eet.90","pet.90","aet.90","wn.90","ai.90","pt.90","ho.15yr","hn.15yr","ppfd.15yr","cond.15yr","eet.15yr","pet.15yr","aet.15yr","wn.15yr","ai.15yr","pt.15yr","wn1","wn2","wn3","wn4","wn5","wn6","wn7","wn8","wn9","wn10","wn15","wn20","wn30","wn60","wn90"
"Austin_2020_03",2021,"initial",33204728.0374195,12594221.6386668,35.302904447254,67.1253250716141,356.045084052724,448.616805906433,448.616805906433,235.302025617926,1.76803514013122,1.26,33204728.0374195,12441162.4478177,34.9819882550998,87.3163846425456,454.312430279203,572.433662151795,572.433662151795,216.995535486681,1.42154005015906,1.26,33204728.0374195,12257003.7887527,34.5490365223933,106.159821619476,544.073807448673,685.532997385328,685.532997385328,220.583412020229,1.24747193716674,1.26,33217036.8938408,11699804.3380237,33.0315261092363,235.167928472271,1200.00100391164,1512.00126492867,1303.86526276707,162.341802904621,0.734073503720545,1.08719726034075,283.717352694057,278.214695962793,278.222345422757,279.596097240582,280.420348331277,279.548126753724,279.230493909566,278.462715952157,277.229341707742,276.747206956329,245.79871953213,226.238802904445,214.670374038014,187.763003227771,203.566705459623
"Bandera_2020_03",2021,"initial",33179156.9406521,12686729.7526626,35.627488605676,70.6002729354213,369.861320559607,466.025263905104,466.025263905104,112.255902996193,0.865731577696513,1.26,33179156.9406521,12531130.2682544,35.2834766267483,90.8400595713034,468.11506832658,589.824986091491,589.824986091491,96.1773215184695,0.700603901964745,1.26,33179156.9406521,12344035.3837793,34.8344261416476,109.663961196528,557.416122250621,702.344314035783,702.344314035783,90.8682531185396,0.62299997014528,1.26,33191492.598444,11795976.541869,33.3608378797547,471.713115722512,2381.82672147252,3001.10166905538,2581.72085278934,102.695617034755,0.526965280024372,1.08393894472003,114.220841603894,115.950198441992,116.57319665258,117.031130666592,118.06167298917,119.425656012122,120.973193066779,120.638440864999,120.609710341005,120.989399831849,125.46176206395,132.514583116533,126.430574494356,85.5782176420559,79.908867040982
"Bandera_2020_03",2021,"primary",33179156.9406521,12783822.1305649,35.8006334447932,46.8103658299709,249.778421573494,314.720811182602,314.720811182602,105.751413224923,0.673730130280375,1.26,33179156.9406521,12698087.0159436,35.6535223955503,68.4712109693011,359.121358829088,452.492912124651,452.49291212465,114.803481972602,0.891471614600402,1.26,33179156.9406521,12547447.5566143,35.3236387074902,88.8492448013552,458.348580545325,577.51921148711,577.51921148711,97.1094637707625,0.715532364140623,1.26,33191492.598444,11795976.541869,33.3608378797547,471.713115722512,2381.82672147252,3001.10166905538,2581.72085278934,102.695617034755,0.526965280024372,1.08393894472003,98.1111954971126,99.8944768717767,101.722110440997,103.591009301235,105.503265495411,107.450457419402,105.820835878089,105.037877777168,104.830339402451,105.036223753147,106.938213995556,109.790935766131,117.891519229917,125.852172786323,97.9874509725682
"Bell_2021_08",2021,"initial",32752341.9356246,12473567.2936602,35.1101974482001,68.3646059708157,352.397374921689,444.020692401329,444.020692401329,130.017788358938,0.996958919743073,1.26,32752341.9356246,12311190.3599318,34.7699322596483,88.4593843864945,446.752911809565,562.908668880052,562.908668880052,116.009765755367,0.837825416239051,1.26,32752341.9356246,12122497.45707,34.3151234454547,107.255022423898,534.191928031658,673.081829319889,673.081829319889,116.950316092427,0.730471048206429,1.26,32765113.7440468,11558704.6193412,32.7468509491176,468.87231093592,2343.11371118549,2952.32327609372,2490.30173795938,139.596743285815,0.636772400151393,1.06376737442862,127.885306747016,130.05030067016,132.238736671858,133.470149215135,134.009077911824,134.006342548583,132.977061615602,132.730663254579,133.009128717145,133.653216203445,123.46768099662,114.06311988833,105.285237762103,88.9350667232016,99.5589019735909
"Bell_2021_08",2021,"primary",32752341.9356246,12567468.5540986,35.2608695746299,47.5085688052728,250.090230626646,315.113690589573,315.113690589573,141.577851426017,0.880492352239235,1.26,32752341.9356246,12470022.7016165,35.101450316391,69.0765607804158,355.975443638283,448.529058984237,448.529058984236,129.279264068566,0.986938038847462,1.26,32752341.9356246,12304716.4385467,34.7562526364438,89.0936515223591,449.59985093652,566.495812180015,566.495812180015,115.838925271372,0.832520169909276,1.26,32765113.7440468,11558704.6193412,32.7468509491176,468.87231093592,2343.11371118549,2952.32327609372,2490.30173795938,139.596743285815,0.636772400151393,1.06376737442862,95.9011036173533,97.634699835337,99.4079194200099,101.219243072352,103.056165988749,103.951655805028,105.143675026108,106.532995428123,108.065312415697,109.715335360359,119.179045598413,129.33472468112,140.750420253612,121.896348979807,105.839520555481
"Bexar_2019_13",2020,"initial",33411506.6233163,11982820.967746,33.6903773158559,288.988616206154,1516.7593409334,1911.11676957608,1911.11676957608,53.0392297740623,0.500328654644739,1.26,33412915.7145119,12013731.9814926,33.7749114016022,310.357266719851,1628.66641229261,2052.11967948868,2052.11967948868,51.8843131413169,0.499817575382136,1.26,33414154.6940943,12011197.0377368,33.7831763757707,330.290109948323,1727.47787780696,2176.62212603677,2176.62212603677,52.1451235936784,0.514624687810914,1.26,33400126.8354692,11827258.0141521,33.2901865854768,473.340742505352,2466.09389164937,3107.27830347821,2597.21985229671,60.4743889937759,0.490004026325328,1.05351024962889,44.1105635277694,45.5747680913968,47.0091402901687,48.5521052197578,50.1768255008726,51.8724465174032,53.6400891002043,55.4769673946221,57.3810874770851,59.3663919222312,70.3785711430256,77.4657833702844,77.9548503830008,56.5079389536628,56.4069836253663
"Bexar_2019_13",2020,"primary",33409831.7946431,11922434.9308409,33.5346500692899,266.207602352064,1394.02785200241,1756.47509352304,1756.47509352304,51.2269390520161,0.47941327897853,1.26,33411456.3140205,11981107.0103081,33.686299679787,288.260137846351,1512.72425710421,1906.03256395131,1906.03256395131,53.0296632793008,0.501663245568468,1.26,33412871.6678128,12013228.8692667,33.7733244154967,309.66090719494,1625.10641323976,2047.6340806821,2047.6340806821,51.897595237403,0.50078014049093,1.26,33400126.8354692,11827258.0141521,33.2901865854768,473.340742505352,2466.09389164937,3107.27830347821,2597.21985229671,60.4743889937759,0.490004026325328,1.05351024962889,11.2876658324473,11.4564784383425,11.6367913042293,11.8293180443888,12.0347070254262,12.2536486456825,12.4868076021191,12.7345238210396,12.9978239050056,13.277788841298,14.9628936520021,17.2399692789247,22.813392885414,50.1199620203175,45.2282656897078
"Blanco_2019_16",2020,"initial",33155855.3994802,11929181.9021507,33.6995203221102,289.01228986835,1470.65943613467,1853.03088952968,1853.03088952968,52.7484832830334,0.499994626047036,1.26,33157289.615632,11958974.6002153,33.7840578832013,310.373779179558,1578.07876732233,1988.37924682614,1988.37924682614,53.0121889724541,0.548788410835497,1.26,33158551.0346572,11956028.4027118,33.7899977762542,330.16415293781,1673.55683201223,2108.68160833541,2108.68160833541,53.6834801247404,0.566640066176811,1.26,33144170.1403759,11771843.4825047,33.2828663416978,236.022164321609,1194.1151412249,1504.58507794338,1247.77286017477,66.1419696114565,0.555987460695461,1.04616799089413,50.1239898638197,51.3404874221881,52.922722800039,54.6389577591138,56.44819936881,58.3391597981045,60.3066058331214,62.3445107263654,64.464128838648,66.6672645713961,78.6612662030164,90.9800230322454,105.339000568697,81.1006463033465,75.4523049023664
"Brazos_2020_16",2021,"initial",32798938.2432806,12451298.8319291,35.0010145463628,66.7094560637227,346.832632114537,437.009116464316,437.009116464316,60.5807273304268,1.2766925465285,1.26,32798938.2432806,12293175.2909267,34.6736276952035,86.8913009803684,442.507152154706,557.55901171493,557.55901171493,51.9109859074633,1.09822631694109,1.26,32798938.2432806,12105646.9321997,34.228233628082,105.708668142222,530.45931295652,668.378734325215,668.378734325215,54.9197438458216,0.978715875591737,1.26,32811663.4309281,11526009.8833959,32.6408451772952,234.175896733948,1171.8442155831,1476.5237116347,1227.12734490554,50.2183931094796,0.731442199613158,1.04813139485047,78.1618247904804,80.8388181536706,81.4634542870333,83.1487918403923,85.2614370970062,86.5514728923508,87.5744079253667,87.5030797563561,84.6039727750389,82.6410043308258,71.6824721627727,65.2659714524627,61.5133463275433,43.5630582926753,51.3937280386281
"Brazos_2020_18",2020,"initial",32966518.7551667,11749208.7473894,33.1854987072321,285.320125378466,1453.22494799897,1831.0634344787,1831.0634344787,75.3304264715747,0.797039826616657,1.26,32967995.0893052,11782572.0149902,33.2783278427201,306.698687783718,1561.38424478377,1967.34414842755,1967.34414842755,74.9753221663922,0.78662723189785,1.26,32969292.4738511,11783426.0855867,33.2920559466663,326.685854611506,1658.73395302231,2090.00478080811,2090.00478080811,77.3107479427983,0.782395570385125,1.26,32954806.0378783,11590871.0228214,32.7787305963029,468.930397420505,2368.95990048712,2984.88947461377,2492.8672354742,75.0056961497256,0.738790971834714,1.05300028186115,49.4599861288537,44.7365740032377,44.1943195937061,44.7546660478774,45.8036629061798,47.1390055105553,48.6709663416732,50.3517787920046,52.1586086627734,54.0744604984189,64.3514076820203,74.2306559354062,82.2715757462992,76.048942743773,88.535910988213
"Brazos_2020_18",2021,"initial",32942225.711902,12513998.0287809,35.1107170507514,66.6428691622955,351.08442278533,442.366372709516,442.366372709516,107.13410570645,1.26082117859408,1.26,32942225.711902,12357799.9787747,34.7873011330826,86.9059911550233,448.532263493421,565.150652001711,565.150652001711,96.6901453240813,1.20443811429583,1.26,32942225.711902,12170666.6935491,34.3472077860221,105.787109774526,537.645877439927,677.433805574308,677.433805574308,97.2741294535954,1.0647519775936,1.26,32954806.0378783,11590871.0228214,32.7787305963029,468.930397420505,2368.95990048712,2984.88947461377,2492.8672354742,75.0056961497256,0.738790971834714,1.05300028186115,121.793746190436,124.494960927216,124.144965746968,125.361549246905,127.199009318337,128.669670079323,129.697096081567,129.489868226836,128.530641798971,128.287033977551,127.292993289334,125.764568236282,126.140265848965,95.5751990065976,96.9266433741657
"Burnet_2020_12",2021,"initial",32835268.3028568,12532799.9675493,35.2685051860521,69.1896993476513,357.292334121387,450.188340992947,450.188340992947,61.1304916466562,0.815517325897943,1.26,32835268.3028568,12369577.2855516,34.9247064850002,89.2540178789028,451.756069572371,569.212647661187,569.212647661187,53.7185467063614,0.704052331452308,1.26,32835268.3028568,12180608.1300288,34.4689356358245,108.022295347752,539.274870789035,679.486337194184,679.486337194184,51.8884887088341,0.661155589306006,1.26,32847956.976769,11625365.8064795,32.923092667136,470.024398154861,2354.78079211146,2967.02379806044,2482.13901635032,56.7172008853952,0.55042433789966,1.05592381409782,75.2449785586393,77.8199943350748,78.5427827041985,74.6748992247087,72.1313515128703,68.8246834726133,66.8166343269433,65.8099995591593,65.3940280060599,63.960500777962,57.7198045774059,56.2019121210153,55.5967021820356,43.0455773710698,43.4718012426204
"Burnet_2020_12",2021,"primary",32835268.3028568,12629910.071192,35.4272481888936,47.600017566341,251.033505598129,316.302217053643,316.302217053643,63.7244554581971,0.66203296744356,1.26,32835268.3028568,12532799.9675493,35.2685051860521,69.1896993476513,357.292334121387,450.188340992947,450.188340992947,61.1304916466562,0.815517325897943,1.26,32835268.3028568,12369577.2855516,34.9247064850002,89.2540178789028,451.756069572371,569.212647661187,569.212647661187,53.7185467063614,0.704052331452308,1.26,32847956.976769,11625365.8064795,32.923092667136,470.024398154861,2354.78079211146,2967.02379806044,2482.13901635032,56.7172008853952,0.55042433789966,1.05592381409782,53.1400324745306,55.236801544928,57.4247980479897,59.7015091815479,62.0365254746285,60.2062178968421,59.4763712351334,59.4644992486161,59.9572627037941,60.8351337429387,68.8215652655848,79.6715263119323,89.2317128259007,72.4142075039681,58.4409558560135
"Burnet_2020_14",2021,"initial",32829790.0185354,12529020.2064512,35.2277036881665,69.1535854248928,359.253335580326,452.659202831211,452.659202831211,86.0024796102608,0.887621173571545,1.26,32829790.0185354,12365238.0195636,34.8841123289337,89.2550679372653,454.301173215842,572.41947825196,572.41947825196,74.8014289652959,0.752468090688221,1.26,32829790.0185354,12175220.8945286,34.4286223228364,108.056666920595,542.134209827872,683.089104383119,683.089104383119,68.9475365002596,0.712039009316717,1.26,32842484.2077182,11613024.9787544,32.8836967642173,234.878427944913,1177.84561727551,1484.08547776714,1248.89693997066,67.2204056958197,0.51604356930381,1.0612379900231,95.8411271188812,98.3869349386368,97.3912363206229,97.8546245188878,98.5274551717038,95.2928484828336,93.6123868270332,92.9124475496043,92.8489833873797,92.9665060050066,91.1818151415305,93.17413957318,91.9222968497951,65.8135502304338,58.792849368548
"Comal_2020_19",2021,"initial",33124641.2299713,12647421.4705381,35.5196783006403,69.7939550508189,365.446958581801,460.463167813069,460.463167813069,110.951136005154,0.975736218642345,1.26,33124641.2299713,12490045.0696495,35.1793328528063,89.9740201897955,462.74745433411,583.061792460979,583.061792460979,97.0381888244065,0.787875995268107,1.26,33124641.2299713,12301915.1935194,34.7316024247764,108.743630933236,551.233105499568,694.553712929456,694.553712929456,94.4141632277788,0.722049972546812,1.26,33137033.7653933,11755043.0327221,33.2379821862274,235.792605948905,1192.24478163992,1502.2284248663,1264.90765595622,107.50461311492,0.563730084291564,1.06223377743272,130.430587062394,132.624384176044,131.876223798337,130.896313612982,126.996431001383,124.973269556297,124.138741992008,123.850881570474,121.163728497597,118.064317404728,111.41162062861,108.319048939377,100.726053079756,76.8532879158985,79.0624330245423
