site,map.mm,mat,tmax,tmin,vpdmax,vpdmin
Austin_2020_03,1137.607531,20.455542,26.53633603,14.37594726,19.37813334,0.560619444
Bandera_2020_03,874.829734,18.78540943,25.95820005,11.61380836,22.58203884,1.118802778
Bell_2020_05,952.2027998,19.34154721,25.61393052,13.07040555,20.88773058,1.544838889
Bell_2021_08,949.7615986,19.44354084,25.87018327,13.01812222,21.73374436,1.684000003
Bexar_2019_13,774.9841335,21.28927347,27.55962493,15.02015835,23.60196668,1.642213891
Blanco_2019_16,875.399869,18.99817913,25.61962778,12.37797776,21.09985001,1.047883333
Brazos_2020_16,1088.07797,20.11338364,26.24555842,13.98238336,20.30997221,1.064041667
Brazos_2020_18,1105.812335,20.32812252,26.41085276,14.24671664,20.47224449,1.047958332
Burnet_2020_12,832.6324981,19.15704587,25.38472774,12.93060001,20.75824726,1.603225004
Burnet_2020_14,760.4167018,19.23197029,25.56334175,12.90177221,21.45965276,1.722605554
Comal_2020_19,890.6609339,19.1070228,25.67071114,12.54454723,21.11895831,1.117783331
Comal_2020_21,903.4036654,19.66578168,26.22778614,13.10501389,22.02381663,1.206183332
Edwards_2019_17,592.4057998,18.86775078,25.33788329,12.39886388,21.68158615,1.735555557
Fayette_2019_04,1043.791699,20.50020311,26.54793607,14.45367223,20.7344528,1.090461111
Fayette_2020_09,1034.637531,20.69119368,26.69649719,14.68712224,20.77372499,1.029452778
Fayette_2021_12,990.5945985,20.31510754,26.62759446,14.00380832,21.00375276,0.922108333
Harris_2020_03,1466.636301,21.32749567,26.36093338,16.29521108,17.7367111,1.400047221
Hays_2021_54,915.0535676,19.86284833,26.07023329,13.6566528,21.26936109,1.494280551
Kerr_2020_03,719.2060329,18.20852913,25.26068056,11.15758061,21.69386669,1.254850004
Menard_2020_01,638.8465328,18.30319303,25.78645,10.82109723,23.63441943,1.413977775
Russel_2020_01,969.6866995,20.18881284,26.28198331,14.09687499,20.5704166,1.136574998
Sansaba_2020_01,753.164033,18.8213389,25.75936389,11.88442781,22.82893052,1.485074993
Uvalde_2020_02,665.3184342,19.29519,26.06963609,12.52194446,22.35774722,1.408063886
Washington_2020_08,1085.879369,20.33561668,26.39562224,14.27676386,20.22461662,0.941858334
Williamson_2019_09,868.5055671,19.52540026,25.80714996,13.24489721,21.30749444,1.653872222
Williamson_2019_10,857.5624676,19.72747418,26.09609178,13.36005276,21.70160834,1.531733338
