"site","latitude","longitude","jan.precip.norm","feb.precip.norm","mar.precip.norm","apr.precip.norm","may.precip.norm","jun.precip.norm","jul.precip.norm","aug.precip.norm","sep.precip.norm","oct.precip.norm","nov.precip.norm","dec.precip.norm","jan.temp.norm","feb.temp.norm","mar.temp.norm","apr.temp.norm","may.temp.norm","jun.temp.norm","jul.temp.norm","aug.temp.norm","sep.temp.norm","oct.temp.norm","nov.temp.norm","dec.temp.norm","map","mat"
"Bell_2020_05",31.0894,-97.413218,63.3390045166016,64.2380065917969,84.0560073852539,67.4680023193359,114.794006347656,92.8520050048828,48.6440010070801,68.5220031738281,85.724006652832,98.0980072021484,76.906005859375,71.0200042724609,8.91000080108643,10.9900007247925,15.0000009536743,19.0700016021729,23.5200004577637,27.2700004577637,28.9400005340576,29.1600017547607,25.7400016784668,20.3800010681152,14.4300003051758,9.89000034332275,935.661060333252,19.4416675567627
"Bexar_2019_13",29.244832,-98.427454,46.0780029296875,45.0980033874512,61.4130020141602,61.3890037536621,94.9340057373047,81.5860061645508,50.4730033874512,66.5559997558594,90.2270050048828,85.4300003051758,61.1170043945312,56.1070022583008,11.5400009155273,13.9100008010864,17.5,21.1100006103516,25.3000011444092,28.3700008392334,29.5000019073486,29.8500022888184,27.0800018310547,22.2800006866455,16.6100006103516,12.4200010299683,800.408039093018,21.2891677220662
"Blanco_2019_16",29.986237,-98.429976,57.0080032348633,47.5340003967285,69.9880065917969,63.6520042419434,121.335006713867,82.9760055541992,63.6490020751953,64.0450057983398,96.4160079956055,102.272003173828,72.7320022583008,57.5010032653809,9.20000076293945,11.1800003051758,14.9400005340576,18.810001373291,22.8500003814697,26.3000011444092,27.6700019836426,27.9900016784668,24.730001449585,19.8800010681152,14.0400009155273,9.99000072479248,899.108051300049,18.9650010267893
"Brazos_2020_18",30.524669,-96.209114,92.2400054931641,75.4690017700195,87.2430038452148,84.1740036010742,125.226005554199,104.655006408691,58.7020034790039,84.5270004272461,94.5140075683594,118.945007324219,102.76000213623,98.099006652832,10.2400007247925,12.3500003814697,16.0200004577637,19.8900012969971,24.1200008392334,27.6600017547607,29.0300006866455,29.2600021362305,26.4000015258789,21.1000003814697,15.4100008010864,11.2600002288818,1126.55405426025,20.2283342679342
"Comal_2020_21",29.787704,-98.434563,56.8520011901855,50.6620025634766,69.6460037231445,63.5970039367676,113.827003479004,93.4990081787109,57.7300033569336,66.9970016479492,100.301002502441,111.934005737305,72.375,57.2420043945312,9.52000045776367,11.7200002670288,15.3600006103516,19.2000007629395,23.3200016021729,26.7800006866455,28.0700016021729,28.3800010681152,25.2400016784668,20.3200016021729,14.4700002670288,10.3800001144409,914.662040710449,19.3966675599416
"Edwards_2019_17",29.953118,-100.356582,23.0730018615723,25.8280010223389,39.0350036621094,45.0370025634766,78.2410049438477,56.1180038452148,41.117000579834,59.0080032348633,75.838005065918,55.9570045471191,38.6520004272461,29.2470016479492,8.8100004196167,10.9300003051758,14.8000011444092,18.6700000762939,22.7700004577637,26.1200008392334,27.3400020599365,27.4400005340576,24.1000003814697,19.5900001525879,13.6000003814697,9.45000076293945,567.151033401489,18.6350006262461
"Fayette_2019_04",30.093534,-96.780727,83.3390045166016,71.6000061035156,80.7750015258789,78.6500015258789,119.899002075195,97.390007019043,48.5050010681152,76.5500030517578,85.8850021362305,113.937004089355,85.1520004272461,86.0760040283203,10.5200004577637,12.4000005722046,16.1800003051758,20.0100002288818,24.1700019836426,27.6300010681152,28.9700012207031,29.4700012207031,26.3500003814697,21.1700000762939,15.4500007629395,11.4300003051758,1027.75803756714,20.3125007152557
"Harris_2020_03",29.877754,-95.309644,107.73900604248,82.4590072631836,95.3800048828125,103.7080078125,133.114013671875,146.158004760742,105.502006530762,141.853012084961,133.832000732422,133.762008666992,118.839004516602,108.468002319336,12.1100006103516,14.0500001907349,17.4500007629395,20.9200000762939,24.9200019836426,28.0900020599365,29.1700019836426,29.310001373291,26.8600006103516,22.3000011444092,16.810001373291,13.0600004196167,1410.81407928467,21.2541677157084
"Menard_2020_01",30.912522,-99.573082,33.5170021057129,38.6830024719238,53.3920021057129,46.3820037841797,93.5820007324219,82.9540023803711,48.3970031738281,51.786003112793,67.5800018310547,61.6270027160645,45.0950012207031,33.8280029296875,7.74000024795532,9.96000003814697,14.0500001907349,17.8200016021729,22.3900012969971,26.060001373291,27.4900016784668,27.5700016021729,24.0100002288818,18.810001373291,12.7700004577637,8.35000038146973,656.823028564453,18.085000872612
"Russel_2020_01",30.390675,-96.906408,84.4340057373047,61.976001739502,80.0770034790039,68.0200042724609,119.172004699707,90.2300033569336,46.2330017089844,76.1880035400391,79.890007019043,116.94100189209,80.802001953125,86.9880065917969,9.91000080108643,11.9300003051758,15.7000007629395,19.5700016021729,23.8400020599365,27.4900016784668,28.9400005340576,29.1900005340576,26.1000003814697,20.810001373291,15.0500011444092,10.8900003433228,990.95104598999,19.9516676266988
