station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,atm.pressure,air.temp,relative.humidity,wind.speed,wind.gust,incremental.precip,solar.rad,wind.cardinaldirection,sea.level.pressure
TWB51,Sansaba_2020_01,31.24169,-98.31394,436.7784,6/16/20,i,2020,04/17/2020 19:00 CDT,97378,9.99,77.73,1.26,8.16,0,34.56,NNE,102620.08
TWB51,Sansaba_2020_01,31.24169,-98.31394,436.7784,6/16/20,i,2020,04/17/2020 19:05 CDT,97328,9.99,78.07,1.87,8.16,0,37.16,E,102567.39
TWB51,Sansaba_2020_01,31.24169,-98.31394,436.7784,6/16/20,i,2020,04/17/2020 19:10 CDT,97283,9.88,76.41,1.62,8.16,0,38.71,E,102522.05
TWB51,Sansaba_2020_01,31.24169,-98.31394,436.7784,6/16/20,i,2020,04/17/2020 19:15 CDT,97246,9.84,78.68,1.89,8.16,0,82.99,ESE,102483.81
TWB51,Sansaba_2020_01,31.24169,-98.31394,436.7784,6/16/20,i,2020,04/17/2020 19:20 CDT,97213,10.02,77.76,2.04,8.16,0,95.06,ENE,102445.63
TWB51,Sansaba_2020_01,31.24169,-98.31394,436.7784,6/16/20,i,2020,04/17/2020 19:25 CDT,97221,10.06,77.8,2.09,8.16,0,50.25,E,102453.31
TWB51,Sansaba_2020_01,31.24169,-98.31394,436.7784,6/16/20,i,2020,04/17/2020 19:30 CDT,97256,10.02,78.68,1.85,8.16,0,39.37,ENE,102490.94
TWB51,Sansaba_2020_01,31.24169,-98.31394,436.7784,6/16/20,i,2020,04/17/2020 19:35 CDT,97234,10.02,78.58,2.51,8.16,0,42.24,NE,102467.76
TWB51,Sansaba_2020_01,31.24169,-98.31394,436.7784,6/16/20,i,2020,04/17/2020 19:40 CDT,97214,9.98,78.68,2.28,8.16,0,35.31,ENE,102447.44
TWB51,Sansaba_2020_01,31.24169,-98.31394,436.7784,6/16/20,i,2020,04/17/2020 19:45 CDT,97210,9.89,78.21,2.37,8.16,0,20.96,ENE,102444.93
TWB51,Sansaba_2020_01,31.24169,-98.31394,436.7784,6/16/20,i,2020,04/17/2020 19:50 CDT,97266,9.81,79.43,2,8.16,0,12.55,NNW,102505.45
