station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,atm.pressure,air.temp,relative.humidity,wind.speed,wind.gust,solar.rad,sea.level.pressure
TWB14,Uvalde_2020_02,29.60214,-99.73007,436.7784,6/28/21,p,2021,04/01/2021 19:00 CDT,98302,19.07,15.93,2.475,7.565,51.03,103426.35
TWB14,Uvalde_2020_02,29.60214,-99.73007,436.7784,6/28/21,p,2021,04/01/2021 19:05 CDT,98302,19.02,17.38,1.74,7.565,46.05,103427.77
TWB14,Uvalde_2020_02,29.60214,-99.73007,436.7784,6/28/21,p,2021,04/01/2021 19:10 CDT,98294,18.98,16.57,1.92,7.565,43.1,103419.72
TWB14,Uvalde_2020_02,29.60214,-99.73007,436.7784,6/28/21,p,2021,04/01/2021 19:15 CDT,98294,18.95,16.77,1.92,7.565,40.08,103420.26
TWB14,Uvalde_2020_02,29.60214,-99.73007,436.7784,6/28/21,p,2021,04/01/2021 19:20 CDT,98295,18.92,16.84,2.045,7.565,34.23,103421.84
TWB14,Uvalde_2020_02,29.60214,-99.73007,436.7784,6/28/21,p,2021,04/01/2021 19:25 CDT,98297,18.85,17.48,2.27,7.565,25.86,103425.56
TWB14,Uvalde_2020_02,29.60214,-99.73007,436.7784,6/28/21,p,2021,04/01/2021 19:30 CDT,98296,18.79,16.84,2.125,7.565,24.7,103425.95
TWB14,Uvalde_2020_02,29.60214,-99.73007,436.7784,6/28/21,p,2021,04/01/2021 19:35 CDT,98296,18.73,17.11,1.85,7.565,18.15,103427.02
TWB14,Uvalde_2020_02,29.60214,-99.73007,436.7784,6/28/21,p,2021,04/01/2021 19:40 CDT,98305,18.64,16.84,1.815,7.565,13.13,103438.11
TWB14,Uvalde_2020_02,29.60214,-99.73007,436.7784,6/28/21,p,2021,04/01/2021 19:45 CDT,98308,18.58,16.84,2.29,7.565,8.63,103442.7
TWB14,Uvalde_2020_02,29.60214,-99.73007,436.7784,6/28/21,p,2021,04/01/2021 19:50 CDT,98305,18.53,17.04,2.605,7.565,4.63,103440.62
TWB14,Uvalde_2020_02,29.60214,-99.73007,436.7784,6/28/21,p,2021,04/01/2021 19:55 CDT,98312,18.49,16.71,2.11,7.565,2.51,103448.71
TWB14,Uvalde_2020_02,29.60214,-99.73007,436.7784,6/28/21,p,2021,04/01/2021 20:00 CDT,98322,18.43,16.84,1.89,7.565,0.98,103460.13
TWB14,Uvalde_2020_02,29.60214,-99.73007,436.7784,6/28/21,p,2021,04/01/2021 20:05 CDT,98321,18.38,17.45,1.71,7.565,0.46,103460.16
TWB14,Uvalde_2020_02,29.60214,-99.73007,436.7784,6/28/21,p,2021,04/01/2021 20:10 CDT,98316,18.32,16.98,2.38,7.565,0.1,103456.34
