station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,additive.precip
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 12:30 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 12:45 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 13:00 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 13:15 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 13:30 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 13:45 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 14:00 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 14:15 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 14:30 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 14:45 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 15:00 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 15:15 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 15:30 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 15:45 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 16:00 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 16:15 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 16:30 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 16:45 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 17:00 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 17:15 CDT,44.704
NMOT2,Uvalde_2020_02,29.52639,-100.01833,379.1712,7/20/20,p,2020,04/23/2020 17:30 CDT,44.704
