station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,atm.pressure,air.temp,relative.humidity,wind.speed,wind.gust,solar.rad,wind.cardinal.direction,sea.level.pressure
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 00:00 CDT,96469,12.51,77.22,1.84,11.83,0,NW,101615.32
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 00:05 CDT,96476,12.51,77.35,2.1,11.83,0,NW,101622.69
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 00:10 CDT,96476,12.47,77.55,1.74,11.83,0,WNW,101623.43
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 00:15 CDT,96483,12.5,77.35,1.58,11.83,0,WNW,101630.25
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 00:20 CDT,96495,12.49,77.69,0.79,11.83,0,NNW,101643.07
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 00:25 CDT,96504,12.53,77.62,0.99,11.83,0,NNW,101651.82
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 00:30 CDT,96504,12.7,72.69,2.47,11.83,0,N,101648.71
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 00:35 CDT,96502,13.05,71.65,2.83,11.83,0,NNW,101640.18
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 00:40 CDT,96500,13.25,69.82,2.85,11.83,0,NW,101634.41
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 00:45 CDT,96501,13.42,69.92,2.26,11.83,0,WNW,101632.35
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 00:50 CDT,96503,13.52,70.63,1.45,11.83,0,W,101632.62
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 00:55 CDT,96506,13.59,69.18,0.67,11.83,0,WSW,101634.51
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 01:00 CDT,96527,13.57,69.52,1.17,11.83,0.25,NW,101656.99
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 01:05 CDT,96543,13.34,72.35,0.04,11.83,1.39,NW,101678.04
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 01:10 CDT,96557,13.03,72.96,0.02,11.83,1.18,NW,101698.47
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 01:15 CDT,96564,12.79,75.66,0.72,11.83,1,NNW,101710.24
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 01:20 CDT,96560,12.5,74.78,1.83,11.83,0.28,NNE,101711.37
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 01:25 CDT,96558,12.49,77.76,1.57,11.83,0.13,N,101709.44
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 01:30 CDT,96560,12.27,77.32,1.31,11.83,0.69,N,101715.6
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 01:35 CDT,96571,12.25,79.85,0.78,11.83,0.08,ENE,101727.55
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 01:40 CDT,96571,12.16,79.17,0.68,11.83,0.39,NE,101729.22
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 01:45 CDT,96577,12,79.92,0.2,11.83,0.66,NNE,101738.49
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 01:50 CDT,96589,11.91,81.9,0,11.83,0.65,,101752.79
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 01:55 CDT,96592,11.75,83,0.92,11.83,0,NNW,101758.91
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 02:00 CDT,96584,11.53,83.8,0.48,11.83,0,NNW,101754.56
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 02:05 CDT,96578,11.43,83.8,1.22,11.83,0,NW,101750.1
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 02:10 CDT,96585,11.36,85,1.67,11.83,0,NNW,101758.77
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 02:15 CDT,96585,11.26,84.3,2.06,11.83,0,NW,101760.63
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 02:20 CDT,96585,11.31,79.18,2.62,11.83,0,NW,101759.72
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 02:25 CDT,96582,11.68,77.15,2.83,11.83,0,NW,101749.7
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 02:30 CDT,96580,11.93,76.37,2.49,11.83,0,WNW,101742.96
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 02:35 CDT,96578,11.96,76.81,2.38,11.83,0,NW,101740.3
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 02:40 CDT,96585,11.93,76.88,2.55,11.83,0,WNW,101748.23
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 02:45 CDT,96581,11.93,76.34,2.22,11.83,0,NNW,101744.02
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 02:50 CDT,96577,11.96,76.21,2.06,11.83,0.01,NW,101739.25
TWB14,Uvalde_2020_02,29.52639,-100.01833,436.7784,7/20/20,p,2020,04/23/2020 02:55 CDT,96574,11.83,77.46,2.03,11.83,0.36,NW,101738.49
