station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,atm.pressure,air.temp,relative.humidity,wind.speed,wind.gust,solar.rad,incremental.precip,accumulated.precip,additive.precip,wind.cardinaldirection,seal.level.pressure
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,05/03/2020 00:04 CDT,99086,23.33,82,4.02,8.94,0,,,375.92,S,101096.08
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,05/03/2020 01:04 CDT,99086,22.22,89,4.47,9.84,0,,,375.92,S,101103.69
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,05/03/2020 02:04 CDT,99086,21.67,91,4.92,8.49,0,,,375.92,S,101107.49
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,05/03/2020 03:04 CDT,99052,21.67,90,4.92,10.28,0,,,375.92,S,101072.8
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,05/03/2020 04:04 CDT,99052,21.67,88,4.47,8.49,0,,,375.92,S,101072.8
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,05/03/2020 05:04 CDT,99018,21.67,89,4.02,8.05,0,,,375.92,S,101038.1
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,05/03/2020 06:04 CDT,98984,21.11,89,4.47,8.05,0,,,375.92,S,101007.29
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,05/03/2020 07:04 CDT,99018,20.56,93,3.13,5.81,0,,,375.92,S,101045.81
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,05/03/2020 08:04 CDT,99052,21.11,92,4.02,6.26,4,,,375.92,S,101076.68
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,05/03/2020 09:04 CDT,99120,21.67,90,3.13,4.92,99,,,375.92,S,101142.18
