station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,air.temp,relative.humidity,wind.speed,wind.gust,accumulated.precip,wind.cardinaldirection,atm.pressure,sea.level.pressure
C3398,Kerr_2020_03,30.2,-99.3,661.7208,5/25/21,i,2021,03/27/2021 19:01 CDT,27.78,16,0.45,2.23,0,WSW,93147.52,100360.46
C3398,Kerr_2020_03,30.2,-99.3,661.7208,5/25/21,i,2021,03/27/2021 19:15 CDT,27.78,17,0.9,2.68,0,WNW,93178.8,100394.15
C3398,Kerr_2020_03,30.2,-99.3,661.7208,5/25/21,i,2021,03/27/2021 19:32 CDT,27.22,19,0.45,1.34,0,N,93178.8,100407.99
C3398,Kerr_2020_03,30.2,-99.3,661.7208,5/25/21,i,2021,03/27/2021 19:46 CDT,26.11,20,0.45,1.34,0,W,93241.38,100503.08
C3398,Kerr_2020_03,30.2,-99.3,661.7208,5/25/21,i,2021,03/27/2021 20:00 CDT,25.56,21,0,0.45,0,,93241.38,100516.85
C3398,Kerr_2020_03,30.2,-99.3,661.7208,5/25/21,i,2021,03/27/2021 20:16 CDT,24.44,20,0.45,0.9,0,N,93272.68,100578.86
C3398,Kerr_2020_03,30.2,-99.3,661.7208,5/25/21,i,2021,03/27/2021 20:31 CDT,23.89,32,0.45,1.79,0,E,93335.25,100660.15
C3398,Kerr_2020_03,30.2,-99.3,661.7208,5/25/21,i,2021,03/27/2021 20:45 CDT,22.78,40,1.34,3.13,0,ENE,93397.83,100755.91
C3398,Kerr_2020_03,30.2,-99.3,661.7208,5/25/21,i,2021,03/27/2021 21:02 CDT,22.22,45,1.79,4.47,0,ENE,93429.12,100804.01
C3398,Kerr_2020_03,30.2,-99.3,661.7208,5/25/21,i,2021,03/27/2021 21:15 CDT,21.67,48,2.23,4.92,0,NE,93429.12,100818.18
C3398,Kerr_2020_03,30.2,-99.3,661.7208,5/25/21,i,2021,03/27/2021 21:30 CDT,21.11,50,1.79,4.92,0,ENE,93460.41,100866.45
C3398,Kerr_2020_03,30.2,-99.3,661.7208,5/25/21,i,2021,03/27/2021 21:45 CDT,21.11,52,1.79,4.47,0,NNE,93491.69,100900.19
C3398,Kerr_2020_03,30.2,-99.3,661.7208,5/25/21,i,2021,03/27/2021 21:47 CDT,21.11,52,1.79,4.47,0,NNE,93491.69,100900.19
C3398,Kerr_2020_03,30.2,-99.3,661.7208,5/25/21,i,2021,03/27/2021 22:01 CDT,20.56,54,2.23,4.02,0,NE,93522.99,100948.27
C3398,Kerr_2020_03,30.2,-99.3,661.7208,5/25/21,i,2021,03/27/2021 22:15 CDT,20.56,54,2.23,4.02,0,NE,93554.27,100982.04
