station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,atm.pressure,air.temp,relative.humidity,wind.speed,wind.gust,solar.rad,additive.precip,wind.cardinal.direction,sea.level.pressure
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 00:00 CDT,96918,18.89,93,1.79,4.02,0,72.136,SSE,101308.44
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 01:00 CDT,96885,19.44,96,3.13,6.26,0,72.136,S,101265.52
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 02:00 CDT,96851,18.89,99,1.34,5.81,0,72.136,S,101238.37
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 03:00 CDT,96817,18.33,98,2.23,5.81,0,72.136,S,101211.44
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 04:00 CDT,96749,18.89,97,1.79,4.92,0,72.136,S,101131.76
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 05:00 CDT,96715,18.89,96,1.79,4.02,0,72.136,SSW,101096.23
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 06:00 CDT,96749,18.89,96,1.79,5.81,0,72.136,S,101131.77
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 07:00 CDT,96783,18.33,100,2.23,4.92,0,72.136,S,101175.88
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 08:00 CDT,96783,18.33,100,0.9,4.02,1,72.136,S,101175.88
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 09:00 CDT,96783,18.89,100,1.34,3.13,36,72.136,S,101167.29
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 10:00 CDT,96783,19.44,94,1.79,4.02,73,72.136,S,101158.91
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 11:00 CDT,96851,20,90,1.34,4.02,156,72.136,SE,101221.48
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 12:00 CDT,96817,19.44,92,1.79,4.92,131,72.136,SSE,101194.46
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 13:00 CDT,96715,25,64,2.23,5.37,486,72.136,SSE,101004.88
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 14:00 CDT,96512,24.44,61,3.13,8.05,373,72.136,SE,100801.11
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 15:00 CDT,96377,25.56,63,1.79,8.05,377,72.136,SSE,100643.72
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 16:00 CDT,96343,25.56,67,2.68,8.94,330,72.136,SSE,100608.19
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 17:00 CDT,96309,26.11,67,3.13,7.15,368,72.136,SSE,100564.69
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 18:00 CDT,96275,25,72,2.23,8.05,242,72.136,SSE,100545.3
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 19:00 CDT,96241,23.89,74,2.23,6.26,163,72.136,SSE,100526.05
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 20:00 CDT,96241,21.67,84,0.9,5.37,20,72.136,SE,100558.89
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 21:00 CDT,96309,21.67,88,1.34,4.92,0,72.136,SE,100629.92
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 22:00 CDT,96377,21.67,88,1.79,5.37,0,72.136,SSE,100700.97
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/16/2021 23:00 CDT,96377,21.11,90,1.34,5.81,0,72.136,SSE,100709.35
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/17/2021 00:00 CDT,96343,20.56,93,2.23,6.7,0,72.136,SSE,100682.08
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/17/2021 01:00 CDT,96207,20.56,96,2.23,8.05,0,72.136,SSE,100539.94
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/17/2021 02:00 CDT,96241,20,97,3.13,8.94,0,72.136,S,100583.91
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/17/2021 03:00 CDT,96241,20,100,2.23,6.7,0,72.136,S,100583.89
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/17/2021 04:00 CDT,96241,20,100,1.79,4.47,0,72.136,SSW,100583.89
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/17/2021 05:00 CDT,96377,20,100,1.79,5.37,0,72.136,WSW,100726.03
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/17/2021 06:00 CDT,96546,15,73,1.34,12.52,0,72.39,NW,100979.9
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/17/2021 07:00 CDT,96546,13.89,71,1.34,4.47,0,72.39,WNW,100997.38
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/17/2021 08:00 CDT,96580,15,42,2.68,8.05,2,72.39,NW,101015.59
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/17/2021 09:00 CDT,96648,16.11,38,2.23,6.26,90,72.39,WNW,101069.37
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/17/2021 10:00 CDT,96715,18.33,29,3.13,8.49,258,72.39,WNW,101105.15
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/17/2021 11:00 CDT,96715,20,23,3.13,9.39,524,72.39,WNW,101079.71
HWWT2,Hays_2021_54,30.046611,-98.200833,380.3904,5/26/21,i,2021,03/17/2021 12:00 CDT,96749,22.78,19,3.13,11.17,715,72.39,WNW,101073.5
