station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,air.temp,relative.humidity,wind.speed,wind.direction,wind.gust,accumulated.precip,atm.pressure,sea.level.pressure
E2931,Edwards_2019_17,30.12867,-100.482,637.032,6/15/20,i,2020,07/01/2019 00:00 UTC,30,44,3.13,159,4.47,5.588,93613.08,100530.68
E2931,Edwards_2019_17,30.12867,-100.482,637.032,6/15/20,i,2020,07/01/2019 00:15 UTC,30,43,2.68,155,4.47,5.588,93613.08,100530.7
E2931,Edwards_2019_17,30.12867,-100.482,637.032,6/15/20,i,2020,07/01/2019 00:30 UTC,29.44,43,1.34,182,3.58,5.588,93613.08,100543.9
E2931,Edwards_2019_17,30.12867,-100.482,637.032,6/15/20,i,2020,07/01/2019 00:45 UTC,28.89,41,1.79,172,3.58,5.588,93644.47,100590.66
E2931,Edwards_2019_17,30.12867,-100.482,637.032,6/15/20,i,2020,07/01/2019 01:00 UTC,28.33,47,1.34,169,2.68,5.588,93644.47,100603.87
E2931,Edwards_2019_17,30.12867,-100.482,637.032,6/15/20,i,2020,07/01/2019 01:15 UTC,26.67,50,1.79,155,2.68,5.588,93644.47,100643.55
E2931,Edwards_2019_17,30.12867,-100.482,637.032,6/15/20,i,2020,07/01/2019 01:30 UTC,26.11,54,1.34,152,2.68,5.588,93644.47,100657
E2931,Edwards_2019_17,30.12867,-100.482,637.032,6/15/20,i,2020,07/01/2019 01:45 UTC,25.56,60,0,,0.9,5.588,93675.84,100703.96
E2931,Edwards_2019_17,30.12867,-100.482,637.032,6/15/20,i,2020,07/01/2019 02:00 UTC,24.44,63,0,,0,5.588,93675.84,100731.21
E2931,Edwards_2019_17,30.12867,-100.482,637.032,6/15/20,i,2020,07/01/2019 02:15 UTC,23.33,72,0,,0.45,5.588,93707.23,100792.12
E2931,Edwards_2019_17,30.12867,-100.482,637.032,6/15/20,i,2020,07/01/2019 02:30 UTC,23.33,72,1.34,155,1.79,5.588,93707.23,100792.12
E2931,Edwards_2019_17,30.12867,-100.482,637.032,6/15/20,i,2020,07/01/2019 02:45 UTC,23.33,72,0.9,137,2.68,5.588,93707.23,100792.12
