station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,air.temp,relative.humidity,wind.speed,wind.direction,wind.gust,additive.precip,accumulated.precip,incremental.precip,atm.pressure,sea.level.pressure
KAQO,Burnet_2020_14,30.78361,-98.66194,335.8896,5/27/21,i,2021,05/31/2020 00:10 UTC,28,42.34,2.57,100,,,,,97869.57,101656.31
KAQO,Burnet_2020_14,30.78361,-98.66194,335.8896,5/27/21,i,2021,05/31/2020 00:30 UTC,27,44.89,2.57,90,,,,,97902.1,101702.91
KAQO,Burnet_2020_14,30.78361,-98.66194,335.8896,5/27/21,i,2021,05/31/2020 00:50 UTC,26,47.61,0,0,,,,,97902.1,101715.81
KAQO,Burnet_2020_14,30.78361,-98.66194,335.8896,5/27/21,i,2021,05/31/2020 01:10 UTC,24,53.62,1.54,70,,,,,97902.1,101741.88
KAQO,Burnet_2020_14,30.78361,-98.66194,335.8896,5/27/21,i,2021,05/31/2020 01:30 UTC,24,53.62,1.54,80,,,,,97902.1,101741.88
KAQO,Burnet_2020_14,30.78361,-98.66194,335.8896,5/27/21,i,2021,05/31/2020 01:50 UTC,22,60.51,0,0,,,,,97934.64,101802.13
KAQO,Burnet_2020_14,30.78361,-98.66194,335.8896,5/27/21,i,2021,05/31/2020 02:10 UTC,22,60.51,0,0,,,,,97934.64,101802.13
KAQO,Burnet_2020_14,30.78361,-98.66194,335.8896,5/27/21,i,2021,05/31/2020 02:30 UTC,23,56.95,2.06,50,,,,,97967.17,101822.68
KAQO,Burnet_2020_14,30.78361,-98.66194,335.8896,5/27/21,i,2021,05/31/2020 02:50 UTC,22,60.51,0,0,,,,,97967.17,101835.95
KAQO,Burnet_2020_14,30.78361,-98.66194,335.8896,5/27/21,i,2021,05/31/2020 03:10 UTC,21,68.61,0,0,,,,,97999.72,101883.12
KAQO,Burnet_2020_14,30.78361,-98.66194,335.8896,5/27/21,i,2021,05/31/2020 03:30 UTC,21,68.61,0,0,,,,,97999.72,101883.12
