station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,atm.pressure,air.temp,relative.humidity,wind.speed,wind.direction,wind.gust,solar.rad,incremental.precip,accumulated.precip,additive.precip,sea.level.pressure
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 00:04 UTC,99086,28.33,69,0.45,138,3.58,100,,,675.132,101062.44
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 01:04 UTC,99052,28.33,69,0.9,103,2.68,97,,,675.132,101027.76
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 02:04 UTC,99086,26.67,72,1.79,111,4.92,32,,,675.132,101073.49
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 03:04 UTC,99153,25.56,77,0.9,122,2.68,3,,,675.132,101149.28
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 04:04 UTC,99153,25,84,0.9,133,2.68,0,,,675.132,101153.05
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 05:04 UTC,99221,25,85,0.45,135,1.79,0,,,675.132,101222.41
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 06:04 UTC,99255,25,84,1.34,163,3.58,0,,,675.132,101257.1
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 07:04 UTC,99255,23.89,88,1.34,175,3.58,0,,,675.132,101264.65
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 08:04 UTC,99255,23.89,90,1.34,166,3.58,0,,,675.132,101264.64
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 09:04 UTC,99255,23.89,87,1.79,178,4.02,0,,,675.132,101264.65
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 10:04 UTC,99289,22.78,94,0.9,189,4.47,0,,,675.64,101306.94
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 11:04 UTC,99323,22.78,95,0.9,146,2.23,0,,,677.672,101341.63
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 12:04 UTC,99323,22.78,95,0.9,139,3.13,0,,,677.926,101341.63
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 13:04 UTC,99323,22.78,95,1.79,231,4.92,8,,,677.926,101341.63
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 14:04 UTC,99357,23.89,93,0.9,174,3.13,47,,,677.926,101368.7
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 15:04 UTC,99391,25,89,1.79,160,3.13,198,,,677.926,101395.83
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 16:04 UTC,99391,26.11,87,2.23,171,4.92,303,,,677.926,101388.32
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 17:04 UTC,99357,28.89,71,3.58,173,7.15,530,,,677.926,101335.13
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 18:04 UTC,99357,29.44,62,4.47,195,7.6,927,,,677.926,101331.53
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 19:04 UTC,99323,30.56,61,4.47,192,7.15,990,,,677.926,101289.51
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 20:04 UTC,99255,31.11,55,4.02,193,7.6,956,,,677.926,101216.6
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 21:04 UTC,99221,32.22,53,3.58,184,7.6,899,,,677.926,101174.74
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 22:04 UTC,99153,32.78,52,3.58,182,7.15,805,,,677.926,101101.79
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/01/2019 23:04 UTC,99086,32.78,50,2.23,163,5.81,713,,,677.926,101033.49
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 00:04 UTC,99086,32.78,48,2.23,169,6.7,522,,,677.926,101033.5
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 01:04 UTC,99052,31.67,54,2.23,164,5.37,306,,,677.926,101005.96
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 02:04 UTC,99086,30,58,2.23,166,5.37,151,,,677.926,101051.49
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 03:04 UTC,99120,27.78,65,1.79,119,4.02,16,,,677.926,101100.79
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 04:04 UTC,99120,26.67,77,1.79,119,4.02,0,,,677.926,101108.15
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 05:04 UTC,99187,25.56,81,0.9,129,3.58,0,,,677.926,101183.95
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 06:04 UTC,99187,25.56,85,1.79,170,4.02,0,,,677.926,101183.94
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 07:04 UTC,99187,25,87,2.68,187,4.47,0,,,677.926,101187.72
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 08:04 UTC,99153,24.44,90,2.68,183,5.37,0,,,677.926,101156.83
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 09:04 UTC,99187,23.89,92,2.68,184,4.47,0,,,677.926,101195.26
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 10:04 UTC,99187,23.89,95,1.79,175,4.92,0,,,677.926,101195.25
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 11:04 UTC,99221,23.33,96,0.45,205,3.13,0,,,677.926,101233.77
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 12:04 UTC,99221,23.33,96,1.34,189,2.68,0,,,677.926,101233.77
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 13:04 UTC,99221,23.89,96,1.34,172,2.68,13,,,677.926,101229.94
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 14:04 UTC,99255,25,92,2.23,180,4.02,139,,,677.926,101257.08
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 15:04 UTC,99289,26.11,88,2.68,188,4.02,187,,,677.926,101284.27
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 16:04 UTC,99289,28.33,72,4.47,201,7.15,533,,,677.926,101269.48
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 17:04 UTC,99221,29.44,63,4.47,190,6.7,774,,,677.926,101192.82
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 18:04 UTC,99187,30.56,62,3.13,170,8.05,831,,,677.926,101150.81
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 19:04 UTC,99120,31.11,59,2.68,173,6.26,879,,,677.926,101078.91
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 20:04 UTC,99120,31.67,55,3.13,193,5.81,858,,,677.926,101075.29
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 21:04 UTC,99052,31.67,55,2.68,154,5.81,857,,,677.926,101005.95
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 22:04 UTC,98950,32.78,51,2.68,164,5.81,747,,,677.926,100894.81
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/02/2019 23:04 UTC,98883,33.33,51,2.23,168,4.92,688,,,677.926,100822.97
TMPT2,Bell_2020_05,31.0564,-97.3469,174.6504,6/19/20,i,2020,07/03/2019 00:04 UTC,98916,30,59,3.58,127,7.6,523,,,677.926,100878.11
