station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,air.temp,relative.humidity,wind.speed,wind.gust,accumulated.precip,wind.cardinal.direction,atm.pressure,sea.level.pressure
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 14:31 CDT,21.11,67,1.34,4.02,0,NNW,98262.14,102413.06
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 14:35 CDT,21.11,69,0.9,4.02,0,NNE,98262.14,102413.05
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 14:40 CDT,21.11,67,1.79,4.47,0,E,98262.14,102413.06
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 14:46 CDT,21.11,70,1.34,4.47,0,NE,98262.14,102413.04
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 14:50 CDT,20.56,68,1.79,3.58,0,NE,98262.14,102420.97
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 14:55 CDT,21.11,68,0.45,3.58,0,WNW,98262.14,102413.05
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 15:01 CDT,21.11,67,1.34,2.23,0,W,98229.68,102379.23
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 15:05 CDT,21.11,68,1.79,3.58,0,N,98229.68,102379.22
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 15:11 CDT,21.67,66,1.79,4.02,0,NNW,98229.68,102371.21
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 15:16 CDT,22.22,65,1.34,4.02,0,NE,98229.68,102363.36
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 15:20 CDT,21.67,65,1.34,3.58,0,E,98229.68,102371.21
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 15:25 CDT,21.11,67,0.9,3.58,0,E,98229.68,102379.23
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 15:31 CDT,21.67,68,1.34,3.13,0,ENE,98197.23,102337.38
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 15:35 CDT,21.67,67,1.34,3.58,0,NE,98197.23,102337.38
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 15:40 CDT,21.67,67,0.9,3.58,0,ESE,98197.23,102337.38
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 15:46 CDT,21.67,65,1.34,4.02,0,NE,98164.78,102303.57
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 15:50 CDT,21.67,65,0.9,4.02,0,ENE,98164.78,102303.57
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 15:55 CDT,21.67,66,1.34,3.58,0,NNW,98164.78,102303.57
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 16:03 CDT,22.22,65,0.9,3.13,0,ENE,98132.33,102261.91
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 16:05 CDT,22.22,63,1.34,3.58,0,NNE,98132.33,102261.92
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 16:10 CDT,22.78,62,0.9,3.58,0,ENE,98132.33,102253.97
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 16:16 CDT,22.22,64,1.79,2.68,0,NNW,98099.88,102228.1
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 16:20 CDT,22.78,64,1.34,3.13,0,NNE,98099.88,102220.15
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 16:25 CDT,22.78,62,1.34,3.13,0,N,98099.88,102220.16
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 16:31 CDT,23.33,61,1.34,3.58,0,ENE,98099.88,102212.38
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 16:35 CDT,22.78,62,0.9,3.58,0,ENE,98067.43,102186.35
F7587,Comal_2020_19,29.9545,-98.322,357.8352,5/36/21,i,2021,05/13/2021 16:40 CDT,22.78,63,1.79,3.58,0,ENE,98067.43,102186.34
