station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,air.temp,relative.humidity,wind.speed,wind.gust,solar.rad,additive.precip,wind.cardinaldirection
JCWT2,Fayette_2021_12,29.9505,-97.370972,151.7904,5/28/21,i,2021,03/31/2021 00:39 CDT,22.78,87,2.23,5.81,0,104.394,SSE
JCWT2,Fayette_2021_12,29.9505,-97.370972,151.7904,5/28/21,i,2021,03/31/2021 01:39 CDT,22.22,88,1.79,4.92,0,104.394,S
JCWT2,Fayette_2021_12,29.9505,-97.370972,151.7904,5/28/21,i,2021,03/31/2021 02:39 CDT,22.22,88,2.23,4.92,0,104.394,S
JCWT2,Fayette_2021_12,29.9505,-97.370972,151.7904,5/28/21,i,2021,03/31/2021 03:39 CDT,22.22,89,2.23,4.92,0,104.394,S
JCWT2,Fayette_2021_12,29.9505,-97.370972,151.7904,5/28/21,i,2021,03/31/2021 04:39 CDT,22.22,90,1.34,4.02,0,104.394,SSE
JCWT2,Fayette_2021_12,29.9505,-97.370972,151.7904,5/28/21,i,2021,03/31/2021 05:39 CDT,21.67,92,0,2.68,0,104.394,
JCWT2,Fayette_2021_12,29.9505,-97.370972,151.7904,5/28/21,i,2021,03/31/2021 06:39 CDT,21.67,93,0.45,1.34,0,104.394,N
JCWT2,Fayette_2021_12,29.9505,-97.370972,151.7904,5/28/21,i,2021,03/31/2021 07:39 CDT,21.11,95,0.9,1.34,1,104.394,NNE
JCWT2,Fayette_2021_12,29.9505,-97.370972,151.7904,5/28/21,i,2021,03/31/2021 08:39 CDT,16.11,92,5.81,11.62,13,104.394,NNW
JCWT2,Fayette_2021_12,29.9505,-97.370972,151.7904,5/28/21,i,2021,03/31/2021 09:39 CDT,15.56,67,4.47,9.84,35,104.394,N
JCWT2,Fayette_2021_12,29.9505,-97.370972,151.7904,5/28/21,i,2021,03/31/2021 10:39 CDT,15.56,51,6.7,11.17,109,104.394,N
JCWT2,Fayette_2021_12,29.9505,-97.370972,151.7904,5/28/21,i,2021,03/31/2021 11:39 CDT,16.67,45,6.7,10.73,127,104.394,N
JCWT2,Fayette_2021_12,29.9505,-97.370972,151.7904,5/28/21,i,2021,03/31/2021 12:39 CDT,18.33,40,5.81,13.86,424,104.394,N
