"","site","lat_deg","elv_m","date","m","i","year","sf","tair","pn"
"73","Harris_2020_03",29.877754,23,"2019-08-12",8,12,2019,0.551180555555556,31.5514984130859,0
"74","Harris_2020_03",29.877754,23,"2019-08-13",8,13,2019,0.550138888888889,31.6735000610352,0
"75","Harris_2020_03",29.877754,23,"2019-08-14",8,14,2019,0.549074074074074,31.7188987731934,0
"76","Harris_2020_03",29.877754,23,"2019-08-15",8,15,2019,0.548009259259259,30.8719997406006,3.54200005531311
"77","Harris_2020_03",29.877754,23,"2019-08-16",8,16,2019,0.54693287037037,30.4644985198975,0.0540000014007092
"78","Harris_2020_03",29.877754,23,"2019-08-17",8,17,2019,0.545844907407407,30.6569995880127,0.628000020980835
"79","Harris_2020_03",29.877754,23,"2019-08-18",8,18,2019,0.544756944444444,30.798999786377,0.546999990940094
"80","Harris_2020_03",29.877754,23,"2019-08-19",8,19,2019,0.543657407407407,30.3564987182617,1.25300002098083
"81","Harris_2020_03",29.877754,23,"2019-08-20",8,20,2019,0.542534722222222,30.4074993133545,4.67199993133545
"82","Harris_2020_03",29.877754,23,"2019-08-21",8,21,2019,0.541423611111111,28.8544998168945,1.50399994850159
"83","Harris_2020_03",29.877754,23,"2019-08-22",8,22,2019,0.540300925925926,29.6418991088867,0.528999984264374
"84","Harris_2020_03",29.877754,23,"2019-08-23",8,23,2019,0.539166666666667,29.6213989257812,5.3899998664856
"85","Harris_2020_03",29.877754,23,"2019-08-24",8,24,2019,0.538020833333333,28.2309989929199,12.2189998626709
"86","Harris_2020_03",29.877754,23,"2019-08-25",8,25,2019,0.536875,29.0713996887207,0
"87","Harris_2020_03",29.877754,23,"2019-08-26",8,26,2019,0.535717592592593,28.8055000305176,54.0219993591309
"88","Harris_2020_03",29.877754,23,"2019-08-27",8,27,2019,0.534560185185185,30.4428997039795,0
"89","Harris_2020_03",29.877754,23,"2019-08-28",8,28,2019,0.533402777777778,30.1078987121582,0.00100000004749745
"90","Harris_2020_03",29.877754,23,"2019-08-29",8,29,2019,0.532222222222222,28.6618995666504,23.9990005493164
"91","Harris_2020_03",29.877754,23,"2019-08-30",8,30,2019,0.531053240740741,29.2880001068115,0.361000001430511
"92","Harris_2020_03",29.877754,23,"2019-08-31",8,31,2019,0.529872685185185,29.4074993133545,0.0520000010728836
"93","Harris_2020_03",29.877754,23,"2019-09-01",9,1,2019,0.52869212962963,29.6384983062744,0.277999997138977
"94","Harris_2020_03",29.877754,23,"2019-09-02",9,2,2019,0.5275,30.3008995056152,0
"95","Harris_2020_03",29.877754,23,"2019-09-03",9,3,2019,0.526296296296296,30.1805000305176,0
"96","Harris_2020_03",29.877754,23,"2019-09-04",9,4,2019,0.525104166666667,30.3843994140625,0
"97","Harris_2020_03",29.877754,23,"2019-09-05",9,5,2019,0.523900462962963,30.0534992218018,0
"98","Harris_2020_03",29.877754,23,"2019-09-06",9,6,2019,0.522685185185185,30.423999786377,0
"99","Harris_2020_03",29.877754,23,"2019-09-07",9,7,2019,0.521481481481482,29.9384994506836,0
"100","Harris_2020_03",29.877754,23,"2019-09-08",9,8,2019,0.520266203703704,29.1294994354248,0
"101","Harris_2020_03",29.877754,23,"2019-09-09",9,9,2019,0.519050925925926,29.6849994659424,0
"102","Harris_2020_03",29.877754,23,"2019-09-10",9,10,2019,0.517835648148148,29.8955001831055,0
"103","Harris_2020_03",29.877754,23,"2019-09-11",9,11,2019,0.516608796296296,29.5873985290527,6.28299999237061
"104","Harris_2020_03",29.877754,23,"2019-09-12",9,12,2019,0.515381944444444,28.8295001983643,0.458999991416931
"105","Harris_2020_03",29.877754,23,"2019-09-13",9,13,2019,0.514155092592593,29.05299949646,0.935999989509583
"106","Harris_2020_03",29.877754,23,"2019-09-14",9,14,2019,0.512928240740741,29.4270000457764,0
"107","Harris_2020_03",29.877754,23,"2019-09-15",9,15,2019,0.511701388888889,29.994499206543,0
"108","Harris_2020_03",29.877754,23,"2019-09-16",9,16,2019,0.510451388888889,29.6648998260498,0.0179999992251396
"109","Harris_2020_03",29.877754,23,"2019-09-17",9,17,2019,0.509224537037037,28.9609985351562,10.4040002822876
"110","Harris_2020_03",29.877754,23,"2019-09-18",9,18,2019,0.507986111111111,25.4179992675781,75.2210006713867
"111","Harris_2020_03",29.877754,23,"2019-09-19",9,19,2019,0.506759259259259,26.5289993286133,52.9459991455078
"112","Harris_2020_03",29.877754,23,"2019-09-20",9,20,2019,0.505509259259259,25.3055000305176,148.751998901367
"113","Harris_2020_03",29.877754,23,"2019-09-21",9,21,2019,0.504270833333333,27.3764991760254,29.6499996185303
"114","Harris_2020_03",29.877754,23,"2019-09-22",9,22,2019,0.503032407407407,28.1923999786377,0
"115","Harris_2020_03",29.877754,23,"2019-09-23",9,23,2019,0.501782407407407,28.4443988800049,5.69999980926514
"116","Harris_2020_03",29.877754,23,"2019-09-24",9,24,2019,0.500555555555556,27.979398727417,10.33899974823
"117","Harris_2020_03",29.877754,23,"2019-09-25",9,25,2019,0.499293981481481,27.5429000854492,0
"118","Harris_2020_03",29.877754,23,"2019-09-26",9,26,2019,0.498055555555556,27.4648990631104,0
"119","Harris_2020_03",29.877754,23,"2019-09-27",9,27,2019,0.49681712962963,27.8974990844727,0
"120","Harris_2020_03",29.877754,23,"2019-09-28",9,28,2019,0.49556712962963,27.1378993988037,21.1940002441406
"121","Harris_2020_03",29.877754,23,"2019-09-29",9,29,2019,0.494328703703704,28.7273998260498,0
"122","Harris_2020_03",29.877754,23,"2019-09-30",9,30,2019,0.493078703703704,29.1674995422363,0
"123","Harris_2020_03",29.877754,23,"2019-10-01",10,1,2019,0.491851851851852,28.7519989013672,0
"124","Harris_2020_03",29.877754,23,"2019-10-02",10,2,2019,0.490601851851852,28.3094997406006,0
"125","Harris_2020_03",29.877754,23,"2019-10-03",10,3,2019,0.489363425925926,28.4608993530273,0
"126","Harris_2020_03",29.877754,23,"2019-10-04",10,4,2019,0.488125,28.1464996337891,0.601000010967255
"127","Harris_2020_03",29.877754,23,"2019-10-05",10,5,2019,0.486886574074074,28.2103996276855,0
"128","Harris_2020_03",29.877754,23,"2019-10-06",10,6,2019,0.485648148148148,27.9650001525879,0
"129","Harris_2020_03",29.877754,23,"2019-10-07",10,7,2019,0.484421296296296,27.9319000244141,0
"130","Harris_2020_03",29.877754,23,"2019-10-08",10,8,2019,0.48318287037037,24.0068988800049,0
"131","Harris_2020_03",29.877754,23,"2019-10-09",10,9,2019,0.481956018518519,23.4769992828369,0
"132","Harris_2020_03",29.877754,23,"2019-10-10",10,10,2019,0.480729166666667,25.7584991455078,0
"133","Harris_2020_03",29.877754,23,"2019-10-11",10,11,2019,0.479502314814815,28.4993991851807,0
"134","Harris_2020_03",29.877754,23,"2019-10-12",10,12,2019,0.478287037037037,18.8003997802734,7.21400022506714
"135","Harris_2020_03",29.877754,23,"2019-10-13",10,13,2019,0.477060185185185,16.8864994049072,0
"136","Harris_2020_03",29.877754,23,"2019-10-14",10,14,2019,0.475844907407407,21.3544998168945,0
"137","Harris_2020_03",29.877754,23,"2019-10-15",10,15,2019,0.47462962962963,26.3848991394043,14.0550003051758
"138","Harris_2020_03",29.877754,23,"2019-10-16",10,16,2019,0.473425925925926,27.6059989929199,30.9150009155273
"139","Harris_2020_03",29.877754,23,"2019-10-17",10,17,2019,0.472222222222222,18.910400390625,0.987999975681305
"140","Harris_2020_03",29.877754,23,"2019-10-18",10,18,2019,0.471030092592593,16.351900100708,0
"141","Harris_2020_03",29.877754,23,"2019-10-19",10,19,2019,0.469837962962963,20.1649990081787,0
"142","Harris_2020_03",29.877754,23,"2019-10-20",10,20,2019,0.468645833333333,25.4238986968994,0
"143","Harris_2020_03",29.877754,23,"2019-10-21",10,21,2019,0.467453703703704,27.0194988250732,5.40100002288818
"144","Harris_2020_03",29.877754,23,"2019-10-22",10,22,2019,0.466284722222222,19.479398727417,6.53499984741211
"145","Harris_2020_03",29.877754,23,"2019-10-23",10,23,2019,0.465104166666667,19.382999420166,0
"146","Harris_2020_03",29.877754,23,"2019-10-24",10,24,2019,0.463946759259259,20.9174995422363,0
"147","Harris_2020_03",29.877754,23,"2019-10-25",10,25,2019,0.462777777777778,19.8129997253418,41.3530006408691
"148","Harris_2020_03",29.877754,23,"2019-10-26",10,26,2019,0.461631944444444,11.4973993301392,6.45599985122681
"149","Harris_2020_03",29.877754,23,"2019-10-27",10,27,2019,0.460486111111111,14.8659000396729,0
"150","Harris_2020_03",29.877754,23,"2019-10-28",10,28,2019,0.459340277777778,17.7799987792969,0
"151","Harris_2020_03",29.877754,23,"2019-10-29",10,29,2019,0.458217592592593,20.5893993377686,0.976999998092651
"152","Harris_2020_03",29.877754,23,"2019-10-30",10,30,2019,0.457083333333333,20.894998550415,32.0499992370605
"153","Harris_2020_03",29.877754,23,"2019-10-31",10,31,2019,0.455972222222222,11.5023994445801,5.37099981307983
"154","Harris_2020_03",29.877754,23,"2019-11-01",11,1,2019,0.454872685185185,8.31139945983887,0
"155","Harris_2020_03",29.877754,23,"2019-11-02",11,2,2019,0.453773148148148,9.73839950561523,0
"156","Harris_2020_03",29.877754,23,"2019-11-03",11,3,2019,0.452696759259259,12.9095001220703,0
"157","Harris_2020_03",29.877754,23,"2019-11-04",11,4,2019,0.451631944444444,13.6528997421265,0
"158","Harris_2020_03",29.877754,23,"2019-11-05",11,5,2019,0.45056712962963,19.2658996582031,0
"159","Harris_2020_03",29.877754,23,"2019-11-06",11,6,2019,0.449502314814815,22.2999000549316,0
"160","Harris_2020_03",29.877754,23,"2019-11-07",11,7,2019,0.448472222222222,21.308500289917,0
"161","Harris_2020_03",29.877754,23,"2019-11-08",11,8,2019,0.44744212962963,16.6749000549316,44.382999420166
"162","Harris_2020_03",29.877754,23,"2019-11-09",11,9,2019,0.446435185185185,8.8794994354248,1.01699995994568
"163","Harris_2020_03",29.877754,23,"2019-11-10",11,10,2019,0.445428240740741,12.5199995040894,0
"164","Harris_2020_03",29.877754,23,"2019-11-11",11,11,2019,0.44443287037037,16.4389991760254,0
"165","Harris_2020_03",29.877754,23,"2019-11-12",11,12,2019,0.443460648148148,13.2719993591309,0.97299998998642
"166","Harris_2020_03",29.877754,23,"2019-11-13",11,13,2019,0.4425,3.59640002250671,0
"167","Harris_2020_03",29.877754,23,"2019-11-14",11,14,2019,0.4415625,4.00399971008301,1.19900000095367
"168","Harris_2020_03",29.877754,23,"2019-11-15",11,15,2019,0.440625,6.46199989318848,4.31300020217896
"169","Harris_2020_03",29.877754,23,"2019-11-16",11,16,2019,0.439722222222222,10.0628995895386,0
"170","Harris_2020_03",29.877754,23,"2019-11-17",11,17,2019,0.438831018518519,10.7904996871948,0
"171","Harris_2020_03",29.877754,23,"2019-11-18",11,18,2019,0.437939814814815,13.0359992980957,0
"172","Harris_2020_03",29.877754,23,"2019-11-19",11,19,2019,0.437094907407407,16.128999710083,0
"173","Harris_2020_03",29.877754,23,"2019-11-20",11,20,2019,0.43625,18.0834999084473,0
"174","Harris_2020_03",29.877754,23,"2019-11-21",11,21,2019,0.435428240740741,21.7083988189697,0
"175","Harris_2020_03",29.877754,23,"2019-11-22",11,22,2019,0.43462962962963,23.7013988494873,2.60899996757507
"176","Harris_2020_03",29.877754,23,"2019-11-23",11,23,2019,0.433842592592593,17.4133987426758,3.54999995231628
"177","Harris_2020_03",29.877754,23,"2019-11-24",11,24,2019,0.433078703703704,12.7164001464844,0
"178","Harris_2020_03",29.877754,23,"2019-11-25",11,25,2019,0.432337962962963,13.7554998397827,0
"179","Harris_2020_03",29.877754,23,"2019-11-26",11,26,2019,0.43162037037037,19.7614002227783,0
"180","Harris_2020_03",29.877754,23,"2019-11-27",11,27,2019,0.430925925925926,22.3759002685547,2.18700003623962
"181","Harris_2020_03",29.877754,23,"2019-11-28",11,28,2019,0.430243055555556,18.9493999481201,0
"182","Harris_2020_03",29.877754,23,"2019-11-29",11,29,2019,0.429606481481482,19.746000289917,0.531000018119812
"183","Harris_2020_03",29.877754,23,"2019-11-30",11,30,2019,0.428969907407407,22.9820003509521,0
"184","Harris_2020_03",29.877754,23,"2019-12-01",12,1,2019,0.428368055555556,20.0914001464844,4.02500009536743
"185","Harris_2020_03",29.877754,23,"2019-12-02",12,2,2019,0.427789351851852,13.1110000610352,0
"186","Harris_2020_03",29.877754,23,"2019-12-03",12,3,2019,0.42724537037037,11.2325000762939,0
"187","Harris_2020_03",29.877754,23,"2019-12-04",12,4,2019,0.426712962962963,13.7024993896484,0
"188","Harris_2020_03",29.877754,23,"2019-12-05",12,5,2019,0.426203703703704,16.4853992462158,0
"189","Harris_2020_03",29.877754,23,"2019-12-06",12,6,2019,0.425729166666667,17.8549995422363,0
"190","Harris_2020_03",29.877754,23,"2019-12-07",12,7,2019,0.425289351851852,17.3880004882812,0
"191","Harris_2020_03",29.877754,23,"2019-12-08",12,8,2019,0.424861111111111,15.7363996505737,0
"192","Harris_2020_03",29.877754,23,"2019-12-09",12,9,2019,0.424467592592593,17.2813987731934,0
"193","Harris_2020_03",29.877754,23,"2019-12-10",12,10,2019,0.424108796296296,20.7204990386963,7.29400014877319
"194","Harris_2020_03",29.877754,23,"2019-12-11",12,11,2019,0.423773148148148,9.80149936676025,5.11800003051758
"195","Harris_2020_03",29.877754,23,"2019-12-12",12,12,2019,0.423472222222222,10.3369998931885,0
"196","Harris_2020_03",29.877754,23,"2019-12-13",12,13,2019,0.42318287037037,11.9678993225098,0
"197","Harris_2020_03",29.877754,23,"2019-12-14",12,14,2019,0.422939814814815,16.2598991394043,0
"198","Harris_2020_03",29.877754,23,"2019-12-15",12,15,2019,0.422731481481481,16.125,0
"199","Harris_2020_03",29.877754,23,"2019-12-16",12,16,2019,0.422523148148148,23.9685001373291,0
"200","Harris_2020_03",29.877754,23,"2019-12-17",12,17,2019,0.422372685185185,15.0908994674683,0.50900000333786
"201","Harris_2020_03",29.877754,23,"2019-12-18",12,18,2019,0.42224537037037,6.70790004730225,0
"202","Harris_2020_03",29.877754,23,"2019-12-19",12,19,2019,0.422141203703704,7.72939968109131,0
"203","Harris_2020_03",29.877754,23,"2019-12-20",12,20,2019,0.422083333333333,7.93299961090088,0
"204","Harris_2020_03",29.877754,23,"2019-12-21",12,21,2019,0.422037037037037,11.1118993759155,0.717999994754791
"205","Harris_2020_03",29.877754,23,"2019-12-22",12,22,2019,0.422037037037037,9.7519998550415,0
"206","Harris_2020_03",29.877754,23,"2019-12-23",12,23,2019,0.422060185185185,10.7954998016357,0
"207","Harris_2020_03",29.877754,23,"2019-12-24",12,24,2019,0.422106481481481,13.0549993515015,0
"208","Harris_2020_03",29.877754,23,"2019-12-25",12,25,2019,0.4221875,14.6993999481201,0
"209","Harris_2020_03",29.877754,23,"2019-12-26",12,26,2019,0.422303240740741,15.6493997573853,0
"210","Harris_2020_03",29.877754,23,"2019-12-27",12,27,2019,0.422453703703704,18.2178993225098,0
"211","Harris_2020_03",29.877754,23,"2019-12-28",12,28,2019,0.422627314814815,18.0149002075195,0
"212","Harris_2020_03",29.877754,23,"2019-12-29",12,29,2019,0.422835648148148,21.8738994598389,6.36100006103516
"213","Harris_2020_03",29.877754,23,"2019-12-30",12,30,2019,0.42306712962963,13.0050001144409,4.78999996185303
"214","Harris_2020_03",29.877754,23,"2019-12-31",12,31,2019,0.423333333333333,10.3109998703003,0
