"","site","lat_deg","elv_m","date","m","i","year","sf","tair","pn"
"1","Harris_2020_03",29.877754,23,"2019-06-01",6,1,2019,0.576863425925926,27.798999786377,1.82400000095367
"2","Harris_2020_03",29.877754,23,"2019-06-02",6,2,2019,0.577372685185185,28.8624992370605,0.00499999988824129
"3","Harris_2020_03",29.877754,23,"2019-06-03",6,3,2019,0.57787037037037,29.3494987487793,0
"4","Harris_2020_03",29.877754,23,"2019-06-04",6,4,2019,0.578333333333333,28.9258995056152,0
"5","Harris_2020_03",29.877754,23,"2019-06-05",6,5,2019,0.578773148148148,28.2349987030029,26.1480007171631
"6","Harris_2020_03",29.877754,23,"2019-06-06",6,6,2019,0.579189814814815,24.7013988494873,45.6710014343262
"7","Harris_2020_03",29.877754,23,"2019-06-07",6,7,2019,0.579571759259259,28.5464992523193,0
"8","Harris_2020_03",29.877754,23,"2019-06-08",6,8,2019,0.57994212962963,28.7045001983643,0
"9","Harris_2020_03",29.877754,23,"2019-06-09",6,9,2019,0.580277777777778,29.574499130249,0
"10","Harris_2020_03",29.877754,23,"2019-06-10",6,10,2019,0.580601851851852,30.494499206543,0
"11","Harris_2020_03",29.877754,23,"2019-06-11",6,11,2019,0.58087962962963,28.4305000305176,0
"12","Harris_2020_03",29.877754,23,"2019-06-12",6,12,2019,0.581134259259259,26.6604995727539,0.360000014305115
"13","Harris_2020_03",29.877754,23,"2019-06-13",6,13,2019,0.581377314814815,27.7159996032715,0
"14","Harris_2020_03",29.877754,23,"2019-06-14",6,14,2019,0.581585648148148,28.6313991546631,0
"15","Harris_2020_03",29.877754,23,"2019-06-15",6,15,2019,0.581770833333333,28.7678985595703,0
"16","Harris_2020_03",29.877754,23,"2019-06-16",6,16,2019,0.581921296296296,29.8943996429443,0
"17","Harris_2020_03",29.877754,23,"2019-06-17",6,17,2019,0.582048611111111,25.5988998413086,38.9059982299805
"18","Harris_2020_03",29.877754,23,"2019-06-18",6,18,2019,0.582152777777778,26.1673984527588,0.33500000834465
"19","Harris_2020_03",29.877754,23,"2019-06-19",6,19,2019,0.582222222222222,29.5634994506836,0
"20","Harris_2020_03",29.877754,23,"2019-06-20",6,20,2019,0.582280092592593,30.3108997344971,0
"21","Harris_2020_03",29.877754,23,"2019-06-21",6,21,2019,0.582303240740741,30.5409984588623,0
"22","Harris_2020_03",29.877754,23,"2019-06-22",6,22,2019,0.582291666666667,30.3613986968994,0
"23","Harris_2020_03",29.877754,23,"2019-06-23",6,23,2019,0.58224537037037,30.4479999542236,1.90900003910065
"24","Harris_2020_03",29.877754,23,"2019-06-24",6,24,2019,0.582199074074074,26.9644985198975,33.2480010986328
"25","Harris_2020_03",29.877754,23,"2019-06-25",6,25,2019,0.582106481481481,25.1735000610352,9.70800018310547
"26","Harris_2020_03",29.877754,23,"2019-06-26",6,26,2019,0.581990740740741,24.8834991455078,7.46700000762939
"27","Harris_2020_03",29.877754,23,"2019-06-27",6,27,2019,0.581840277777778,28.3349990844727,1.55200004577637
"28","Harris_2020_03",29.877754,23,"2019-06-28",6,28,2019,0.581678240740741,28.0128993988037,0.409000009298325
"29","Harris_2020_03",29.877754,23,"2019-06-29",6,29,2019,0.581481481481481,28.4708995819092,11.3190002441406
"30","Harris_2020_03",29.877754,23,"2019-06-30",6,30,2019,0.581261574074074,26.5439987182617,21.8080005645752
"31","Harris_2020_03",29.877754,23,"2019-07-01",7,1,2019,0.581018518518518,26.471399307251,0.00100000004749745
"32","Harris_2020_03",29.877754,23,"2019-07-02",7,2,2019,0.580740740740741,29,0.456999987363815
"33","Harris_2020_03",29.877754,23,"2019-07-03",7,3,2019,0.580439814814815,27.6388988494873,3.74399995803833
"34","Harris_2020_03",29.877754,23,"2019-07-04",7,4,2019,0.580104166666667,27.6223983764648,6.80800008773804
"35","Harris_2020_03",29.877754,23,"2019-07-05",7,5,2019,0.579756944444444,28.851900100708,0
"36","Harris_2020_03",29.877754,23,"2019-07-06",7,6,2019,0.579386574074074,29.3659992218018,0
"37","Harris_2020_03",29.877754,23,"2019-07-07",7,7,2019,0.578981481481481,29.9478988647461,0
"38","Harris_2020_03",29.877754,23,"2019-07-08",7,8,2019,0.578564814814815,30.3470001220703,0
"39","Harris_2020_03",29.877754,23,"2019-07-09",7,9,2019,0.578101851851852,30.1149997711182,2.09599995613098
"40","Harris_2020_03",29.877754,23,"2019-07-10",7,10,2019,0.577638888888889,30.3613986968994,0
"41","Harris_2020_03",29.877754,23,"2019-07-11",7,11,2019,0.577141203703704,30.4468994140625,0
"42","Harris_2020_03",29.877754,23,"2019-07-12",7,12,2019,0.57662037037037,30.5334987640381,0
"43","Harris_2020_03",29.877754,23,"2019-07-13",7,13,2019,0.576076388888889,30.7828998565674,0
"44","Harris_2020_03",29.877754,23,"2019-07-14",7,14,2019,0.575509259259259,29.0303993225098,8.26900005340576
"45","Harris_2020_03",29.877754,23,"2019-07-15",7,15,2019,0.574918981481481,29.4009990692139,0
"46","Harris_2020_03",29.877754,23,"2019-07-16",7,16,2019,0.57431712962963,29.7888984680176,1.40799999237061
"47","Harris_2020_03",29.877754,23,"2019-07-17",7,17,2019,0.573680555555556,30.1729984283447,0
"48","Harris_2020_03",29.877754,23,"2019-07-18",7,18,2019,0.573032407407407,29.5604991912842,1.20500004291534
"49","Harris_2020_03",29.877754,23,"2019-07-19",7,19,2019,0.572361111111111,30.0275001525879,0
"50","Harris_2020_03",29.877754,23,"2019-07-20",7,20,2019,0.571666666666667,29.976900100708,0.0799999982118607
"51","Harris_2020_03",29.877754,23,"2019-07-21",7,21,2019,0.570960648148148,30.354398727417,21.5949993133545
"52","Harris_2020_03",29.877754,23,"2019-07-22",7,22,2019,0.570219907407407,30.257999420166,1.07700002193451
"53","Harris_2020_03",29.877754,23,"2019-07-23",7,23,2019,0.569479166666667,29.6139984130859,0.51800000667572
"54","Harris_2020_03",29.877754,23,"2019-07-24",7,24,2019,0.568703703703704,26.1423988342285,0
"55","Harris_2020_03",29.877754,23,"2019-07-25",7,25,2019,0.567928240740741,25.7664985656738,0
"56","Harris_2020_03",29.877754,23,"2019-07-26",7,26,2019,0.567118055555556,26.809398651123,0
"57","Harris_2020_03",29.877754,23,"2019-07-27",7,27,2019,0.56630787037037,28.5263996124268,0
"58","Harris_2020_03",29.877754,23,"2019-07-28",7,28,2019,0.565462962962963,29.7008991241455,1.21800005435944
"59","Harris_2020_03",29.877754,23,"2019-07-29",7,29,2019,0.564606481481482,28.2828998565674,3.38100004196167
"60","Harris_2020_03",29.877754,23,"2019-07-30",7,30,2019,0.563738425925926,29.8715000152588,1.17700004577637
"61","Harris_2020_03",29.877754,23,"2019-07-31",7,31,2019,0.562858796296296,29.5633983612061,16.2140007019043
"62","Harris_2020_03",29.877754,23,"2019-08-01",8,1,2019,0.561956018518519,28.9044990539551,0
"63","Harris_2020_03",29.877754,23,"2019-08-02",8,2,2019,0.561041666666667,29.2419986724854,0
"64","Harris_2020_03",29.877754,23,"2019-08-03",8,3,2019,0.560115740740741,29.8823986053467,0
"65","Harris_2020_03",29.877754,23,"2019-08-04",8,4,2019,0.559178240740741,29.6328983306885,0.123000003397465
"66","Harris_2020_03",29.877754,23,"2019-08-05",8,5,2019,0.558217592592593,28.888500213623,1.86500000953674
"67","Harris_2020_03",29.877754,23,"2019-08-06",8,6,2019,0.55724537037037,29.7094993591309,0.0280000008642673
"68","Harris_2020_03",29.877754,23,"2019-08-07",8,7,2019,0.556261574074074,30.4433994293213,0.927999973297119
"69","Harris_2020_03",29.877754,23,"2019-08-08",8,8,2019,0.555266203703704,30.9889984130859,0
"70","Harris_2020_03",29.877754,23,"2019-08-09",8,9,2019,0.554270833333333,31.6404991149902,0
"71","Harris_2020_03",29.877754,23,"2019-08-10",8,10,2019,0.553252314814815,30.7018985748291,0
"72","Harris_2020_03",29.877754,23,"2019-08-11",8,11,2019,0.552222222222222,31.1079998016357,0
