id,relative.humidity,air.temp,ECSt.mAU,gH.,leaf.angle,leaf.temp.differential,LEF,par,NPQt,Phi2,PhiNO,PhiNPQ,ps1.active.centers,ps1.open.centers,ps1.over.reduced.centers,ps1.oxidized.centers,relative.chlorophyll,leaf.thickness,vH.,time
2021eco_Harris_p_1a,74.261,28.29,0.00049,242.828,22.69,2.86,114.5493279,476.693,0.762,0.534,0.264,0.201,1.023,0.15,0.689,0.161,31.08,6.24,0.119,6/26/21 6:34
2021eco_Harris_p_2a,64.688,32.21,0.00053,177.026,20.452,1.16,240.9506649,1462.967,2.016,0.366,0.21,0.424,2.208,0.385,0.067,0.548,31.69,4.7,0.094,6/26/21 6:54
2021eco_Harris_p_2b,65.247,32.66,0.00028,37.555,15.54,-1.51,42.5271852,149.533,0.41,0.632,0.261,0.107,0,null,null,null,21.67,2.39,0.011,6/26/21 6:57
2021eco_Harris_p_2c,66.31,33.12,0.00015,149.428,13.632,-1.57,40.581027,137.89,0.866,0.654,0.185,0.161,0.647,0.6,0.185,0.215,30.92,4.85,0.022,6/26/21 7:01
2021eco_Harris_p_3a,58.688,34.6,0.00083,279.882,24.98,-1.53,239.3198136,1248.408,3.1,0.426,0.14,0.434,1.478,0.585,0.229,0.186,37.86,1.57,0.232,6/26/21 7:13
2021eco_Harris_p_3b,59.791,35.02,0.00025,254.048,8.013,-0.77,182.3443398,732.748,1.07,0.553,0.216,0.231,1.101,0.772,-0.181,0.408,23.83,6.15,0.064,6/26/21 7:16
2021eco_Harris_p_4a,53.09,36.55,0.00086,328.376,25.728,-2.66,318.2869224,2044.232,4.215,0.346,0.125,0.529,2.357,0.208,0.182,0.611,49.79,2.64,0.282,6/26/21 7:24
2021eco_Harris_p_4b,54.879,36.58,30.33104,0,23.55,-4.43,78.4820502,274.221,0.694,0.636,0.215,0.149,1.214,0.911,-0.093,0.182,25.34,4.4,0,6/26/21 7:26
2021eco_Harris_p_5a,52.569,36.24,0.00034,285.25,19.763,-0.13,233.7479208,2404.814,5.416,0.216,0.122,0.662,0.941,0.083,-0.115,1.032,23.87,4.79,0.097,6/26/21 7:35
2021eco_Harris_p_5c,57.122,36.47,0.00104,283.676,29.616,1.96,242.40303,1197.052,1.636,0.45,0.209,0.341,1.651,0.287,0.462,0.25,35.3,5.09,0.295,6/26/21 7:38
2021eco_Harris_p_5d,55.742,36.59,0.00072,366.527,13.269,-1.38,185.0643855,2006.118,2.114,0.205,0.255,0.54,1.342,0.003,0.258,0.739,33.82,5.91,0.264,6/26/21 7:43
2021eco_Bell_p_1a,74.612,27.04,0.00023,169.655,52.327,-0.37,85.97217375,300.865,0.08,0.635,0.338,0.027,1.753,1.148,-0.042,-0.106,53.64,0.41,0.039,6/27/21 5:54
2021eco_Bell_p_1c,70.625,28.27,0.00033,234.844,17.693,0.96,96.347745,346.45,0.207,0.618,0.316,0.065,2.898,0.887,-0.051,0.164,48.28,1.37,0.077,6/27/21 6:01
2021eco_Bell_p_2a,67.312,29.14,0.00007,353.492,25.548,-0.51,58.70851695,203.531,0.267,0.641,0.284,0.076,3.081,0.508,0.434,0.058,14.09,1.19,0.025,6/27/21 6:16
2021eco_Bell_p_2b,66.295,29.51,0.00053,86.691,12.977,-0.36,37.67418,139.534,0.515,0.6,0.264,0.136,0.781,0.151,0.471,0.378,29.25,1.32,0.046,6/27/21 6:21
2021eco_Bell_p_2c,65.661,29.63,0.00026,111.217,5.603,-1.82,36.801585,130.225,0.254,0.628,0.296,0.075,1.949,0.477,0.305,0.218,32.71,3.69,0.029,6/27/21 6:26
2021eco_Bell_p_2d,65.069,29.65,0.00056,86.061,9.369,0.18,33.4148625,136.75,1.74,0.543,0.167,0.29,1.417,0.206,0.498,0.296,40.75,5.22,0.048,6/27/21 6:29
2021eco_Bell_p_3a,64.527,29.52,0.00018,225.76,16.388,-1.71,28.79031465,95.633,0.211,0.669,0.274,0.058,2.034,1.057,-0.112,0.054,47.34,6.46,0.041,6/27/21 6:43
2021eco_Bell_p_3c,64.559,29.58,0.00005,298.924,29.185,0.35,54.3285036,195.356,0.233,0.618,0.31,0.072,0.53,0.312,0.417,0.271,7.51,2,0.015,6/27/21 6:48
2021eco_Bell_p_3d,63.589,29.8,0.00013,253.841,15.042,-1.37,35.7332445,131.035,0.608,0.606,0.245,0.149,0.522,1.231,-0.506,0.276,18.07,2.13,0.033,6/27/21 6:52
2021eco_Bell_p_4a,64.452,29.64,0.00087,162.858,18.753,-1.97,133.2929115,731.374,0.365,0.405,0.436,0.159,1.679,0.594,0.048,0.358,42.88,1.89,0.142,6/27/21 7:01
2021eco_Bell_p_4c,63.696,30.3,0.00099,153.056,11.343,1.03,206.7359405,955.121,0.551,0.481,0.335,0.185,2.887,0.421,0.202,0.377,59.63,3.55,0.152,6/27/21 7:05
2021eco_Bell_p_4e,64.055,31.27,-0.00029,-5034.1,9.864,1.1,229.5703337,1560.111,1.651,0.327,0.254,0.419,1.809,0.282,0.408,0.309,13.03,1.98,1.46,6/27/21 7:09
2021eco_Bell_p_5a,58.521,31.47,0.00015,173.634,28.591,-2.62,64.84979475,246.343,0.43,0.585,0.29,0.125,3.166,0.849,0.037,0.114,55.61,0.66,0.026,6/27/21 7:27
2021eco_Bell_p_5b,59.36,31.73,0.00066,232.441,18.87,-3.34,247.410207,1018.149,0.484,0.54,0.31,0.15,2.428,0.801,0.006,0.192,54.83,0.58,0.153,6/27/21 7:29
2021eco_Bell_p_snightshade1,56.419,32.14,0.00151,221.775,17.224,-1.92,308.8218096,1755.168,0.732,0.391,0.352,0.258,0.98,0.01,-1.648,2.637,63.42,0.65,0.335,6/27/21 7:43
2021eco_Bell_p_snightshade2,54.594,32.25,0.0011,190.502,21.225,-4.5,391.1396337,1691.049,0.506,0.514,0.322,0.163,4.288,0.392,0.312,0.296,81.71,0.59,0.21,6/27/21 7:46
2021eco_Bell_p_snightshade3,53.636,32.37,0.00022,354.699,11.243,-5.08,71.4833469,253.757,0.295,0.626,0.289,0.085,3.323,0.922,0.047,0.031,77.53,0.71,0.078,6/27/21 7:48
2021eco_Burnet12_p_1a,40.299,37.15,0.00021,304.794,5.144,-7.86,284.9893776,1181.548,0.777,0.536,0.261,0.203,0.375,4.415,-2.045,-1.37,15.26,0.39,0.064,6/27/21 10:07
2021eco_Burnet12_p_2a,39.567,37.73,0.00015,491.216,9.704,0.18,322.529823,2171.918,1.072,0.33,0.323,0.346,0.347,0.282,-0.097,0.816,2.76,0.3,0.074,6/27/21 10:21
2021eco_Burnet12_p_2a,39.629,37.48,0.00002,-148.082,19.192,-2.19,573.1582905,3106.549,1.682,0.41,0.22,0.37,-2.088,0.442,2.928,-2.37,2.36,1.23,-0.003,6/27/21 10:23
2021eco_Burnet12_p_2b,39.432,37.8,0.00109,180.744,12.47,-3.95,353.086389,3053.06,2.445,0.257,0.216,0.528,0.949,0.002,-0.143,1.141,32.13,1.26,0.197,6/27/21 10:25
2021eco_Burnet12_p_3a,35.722,40.55,-0.03033,100.051,44.912,-4,536.8549266,3233.092,0.805,0.369,0.35,0.281,1.262,0.15,-0.06,0.91,23.3,0.81,-3.035,6/27/21 10:35
2021eco_Burnet12_p_4a,33.585,41.65,0.00074,327.819,17.831,-8.72,545.4626112,2913.796,1.345,0.416,0.249,0.335,1.404,0.387,-0.252,0.866,34.01,0.48,0.243,6/27/21 10:50
2021eco_Burnet12_p_4b,32.488,41.87,0.00071,267.275,20.524,-4.14,381.6786096,2945.051,4.612,0.288,0.127,0.585,1.183,0.011,-0.251,1.24,23.17,6.49,0.19,6/27/21 10:53
2021eco_Burnet12_p_5a,26.262,46.13,0,-6.374,13.705,-1.06,166.9494816,635.272,0.6,0.584,0.26,0.156,-2.409,-0.312,1.805,-0.494,11.56,0.08,0,6/27/21 11:09
2021eco_Burnet12_p_5b,27.804,45.3,0.00085,208.513,30.19,-13.05,363.4157988,3013.398,0.845,0.268,0.397,0.335,0.954,0.083,-0.331,1.248,50.7,0.34,0.177,6/27/21 11:11
2021eco_Burnet12_p_5c,28.791,44.9,0.00083,269.148,20.206,-12.57,534.0128238,2613.866,1.816,0.454,0.194,0.352,2.251,0.416,0.078,0.506,44.24,3.52,0.223,6/27/21 11:12
2021eco_Burnet12_p_john1,29.554,44.02,0.00087,269.916,48.662,-5.33,339.2730279,2401.083,3.855,0.314,0.141,0.545,1.393,0.209,0.268,0.523,38.39,0.62,0.235,6/27/21 11:19
2021eco_Burnet12_p_john3,29.397,44.03,0.00078,331.562,23.839,-7.28,445.4217891,3112.661,3.147,0.318,0.164,0.517,1.202,0.416,-0.287,0.87,44.67,1.14,0.259,6/27/21 11:21
2021eco_Burnet12_p_john3,28.121,43.97,0.00063,303.182,26.039,-8.06,214.6715703,1141.263,2.007,0.418,0.194,0.388,0.434,0.609,-1.418,1.809,39.07,3.01,0.191,6/27/21 11:22
2021eco_Burnet12_p_snight1,29.173,42.93,0.0004,340.597,15.545,-11.08,84.0601575,339.637,1.478,0.55,0.181,0.268,0.173,1.469,-3.296,2.827,33.22,2.45,0.136,6/27/21 11:24
2021eco_Burnet12_p_snight2,30.759,42.09,-4.69414,0.012,0.762,-8.94,132.0416681,546.417,1.392,0.537,0.193,0.269,0.735,0.236,-2.77,3.534,41.82,4.81,-0.056,6/27/21 11:26
2021eco_Bandera_p_1a,49.687,32.22,0.0002,187.552,7.956,-0.97,89.9568432,393.512,0.847,0.508,0.266,0.226,1.174,-0.001,0.535,0.466,26.61,5.24,0.038,6/28/21 8:28
2021eco_Bandera_p_2a,44.098,34.71,-0.00016,216.091,9.516,-2.56,88.5542112,334.672,0.906,0.588,0.216,0.196,-1.569,0.07,1.589,-0.659,19.69,3.12,-0.035,6/28/21 8:51
2021eco_Bandera_p_2b,44.771,34.73,0.00056,188.093,16.021,-0.12,98.3842443,391.813,0.6,0.558,0.276,0.166,1.69,0.745,-0.056,0.31,46.51,1.14,0.105,6/28/21 8:54
2021eco_Bandera_p_2c,44.497,34.71,0.00105,213.49,11.656,-2.04,198.4865283,930.551,0.641,0.474,0.32,0.206,1.255,0.001,-0.33,1.329,49.49,1.32,0.224,6/28/21 8:56
2021eco_Bandera_p_2d,43.973,34.64,0.00055,252.844,28.197,0.31,152.978976,720.24,0.499,0.472,0.353,0.176,2.327,0.369,0.234,0.397,44.12,6.04,0.139,6/28/21 9:00
2021eco_Bandera_p_3a,38.536,38.28,-0.02892,6.902,8.325,-2.85,61.6219245,204.69,0.548,0.669,0.213,0.117,0.482,1.243,-0.459,0.215,17.03,4.95,-0.2,6/28/21 9:15
2021eco_Bandera_p_3b,41.345,38.52,0.00037,278.021,0.64,-0.45,76.595904,271.04,0.324,0.628,0.281,0.091,1.32,0.71,0.063,0.227,38.78,2.09,0.103,6/28/21 9:17
2021eco_Bandera_p_4a,35.391,39.03,0.00024,259.41,22.233,-3.22,70.6976127,236.962,0.557,0.663,0.217,0.121,1.23,0.172,0.498,0.33,32.61,5.48,0.062,6/28/21 9:28
2021eco_Bandera_p_4b,36.223,39.04,0.0005,230.089,23.413,-5.15,171.010602,666.708,0.457,0.57,0.295,0.135,2.564,0.882,-0.101,0.219,64.39,2.11,0.115,6/28/21 9:30
2021eco_Bandera_p_5a,32.886,40.23,0.00023,263.088,8.362,-0.08,203.5370025,1005.121,1.692,0.45,0.204,0.345,1.405,0.121,0.379,0.5,19.65,2.5,0.061,6/28/21 9:46
2021eco_Bandera_p_5b,36.059,39.52,0.00081,189.627,10.594,0.01,211.4385633,1331.058,1.7,0.353,0.24,0.407,1.254,0.228,-0.025,0.797,32.56,3.02,0.154,6/28/21 9:49
2021eco_Bandera_p_SOTP,34.247,39.46,0.00108,264.342,36.325,-8.17,174.3717474,1160.158,0.82,0.334,0.366,0.3,1.376,0.278,-0.09,0.811,72.81,2.9,0.285,6/28/21 9:53
2021eco_Uvalde_p_1a,62.096,27.16,0.00036,203.603,8.347,0.77,60.9146244,215.208,0.224,0.629,0.303,0.068,1.451,0.849,-0.051,0.202,38.55,4.8,0.073,6/29/21 6:46
2021eco_Uvalde_p_1b,62.512,27.49,0.00032,235.413,9.88,-0.82,71.3991024,259.256,0.465,0.612,0.265,0.123,2.908,0.43,0.399,0.171,48.55,0.96,0.075,6/29/21 6:48
2021eco_Uvalde_p_1c,62.495,27.95,0.00017,232.032,11.656,0.86,63.7327467,235.263,0.58,0.602,0.252,0.146,0.483,-0.108,0.281,0.827,19.99,5.24,0.039,6/29/21 6:50
2021eco_Uvalde_p_2a,59.513,28.9,0.00009,91.818,17.146,0.71,53.3397888,187.552,0.627,0.632,0.226,0.142,0.253,1.104,-0.17,0.065,4.38,6.94,0.008,6/29/21 6:58
2021eco_Uvalde_p_2b,59.422,29.26,0.00006,290.085,16.165,0.93,44.467362,156.355,0.267,0.632,0.29,0.078,1.195,0.1,0.599,0.301,15.63,6.29,0.017,6/29/21 7:01
2021eco_Uvalde_p_2c,59.114,29.41,0.00032,213.706,9.176,-1.52,41.945472,145.644,0.512,0.64,0.238,0.122,3.147,0.303,0.612,0.085,61.21,1.4,0.068,6/29/21 7:03
2021eco_Uvalde_p_3a,56.362,29.63,0.00019,212.59,3.635,0.8,22.4252145,74.49,0.271,0.669,0.26,0.071,1.969,0.834,0.04,0.126,59.36,5.19,0.04,6/29/21 7:12
2021eco_Uvalde_p_3b,56.504,29.83,0.00011,105.299,15.461,0.32,51.507495,195.66,0.769,0.585,0.235,0.18,0.672,0.142,0.552,0.306,7.02,4.99,0.012,6/29/21 7:16
2021eco_Uvalde_p_3c,56.234,29.92,0.00026,180.673,1.93,-3.81,58.4547975,214.71,0.562,0.605,0.253,0.142,3.842,0.326,0.529,0.145,64.04,1.68,0.047,6/29/21 7:18
2021eco_Uvalde_p_4a,54.365,30.24,-0.00256,11.971,15.34,-1.57,44.03752155,159.643,0.495,0.613,0.259,0.128,0,null,null,null,17.79,2.19,-0.031,6/29/21 7:30
2021eco_Uvalde_p_4b,54.564,30.36,0.00044,278.49,4.566,-2.55,64.5236388,232.392,0.306,0.617,0.293,0.09,1,0.893,-0.257,0.364,41.64,1.63,0.123,6/29/21 7:32
2021eco_Uvalde_p_4c,55.282,30.51,0.00068,166.094,13.784,-3.44,60.6141846,261.043,0.754,0.516,0.276,0.208,0.999,0.11,0.376,0.514,34.23,1.55,0.113,6/29/21 7:34
2021eco_Uvalde_p_5a,49.725,32.14,0.00037,190.713,1.572,1.05,152.0671725,800.775,2.342,0.422,0.173,0.405,1.909,0.126,0.448,0.426,18.8,5.47,0.071,6/29/21 7:45
2021eco_Uvalde_p_5b,52.008,32.77,0.00014,309.735,12.483,1.48,69.8537124,247.972,0.343,0.626,0.278,0.095,0.667,0.299,0.263,0.438,15.97,5.8,0.043,6/29/21 7:48
2021eco_Uvalde_p_5c,51.57,32.94,0.00039,194.927,8.763,-6.65,61.9006725,223.67,0.534,0.615,0.251,0.134,1.828,0.569,0.315,0.115,47.59,0.68,0.076,6/29/21 7:49
2021eco_Uvalde_i_01,35.609,37.25,0.00057,151.309,2.858,-9.04,97.91274465,370.671,0.754,0.587,0.236,0.178,3.022,0.017,0.625,0.357,52.54,0.05,0.086,5/25/21 3:46
2021eco_Uvalde_i_02,36.384,36.72,0.00028,181.697,9.164,-7.35,72.6923808,258.876,0.609,0.624,0.233,0.142,2.37,0.277,0.636,0.087,59.16,0.09,0.051,5/25/21 3:49
2021eco_Uvalde_i_03,36.607,36.42,0.00016,541.513,4.693,-7.85,61.33532625,215.325,0.645,0.633,0.223,0.144,1.679,0.87,0.044,0.086,56.32,0.09,0.087,5/25/21 3:50
2021eco_Uvalde_i_04,37.546,35.9,0.00018,265.909,6.401,-4.13,64.7893008,236.803,0.853,0.608,0.212,0.181,1.485,0.54,0.369,0.091,25.29,4.41,0.048,5/25/21 3:52
2021eco_Uvalde_i_03,37.13,35.57,0.00034,178.894,8.384,-4.46,84.16164465,310.159,0.798,0.603,0.221,0.176,2.16,0.417,0.528,0.055,43.48,2.66,0.061,5/25/21 3:54
2021eco_Uvalde_i_06,37.881,35.25,0.00019,302.873,16.272,-4.56,51.4395,177.5,0.712,0.644,0.208,0.148,1.923,0.469,0.452,0.079,30.41,4.07,0.058,5/25/21 3:56
2021eco_Uvalde_i_07,39.429,34.61,0.00068,145.53,19.36,-0.76,98.02994355,434.819,0.589,0.501,0.314,0.185,1.78,0.34,0.128,0.533,49.46,3.43,0.099,5/25/21 4:00
2021eco_Uvalde_i_08,40.53,34.43,0.0006,221.098,78.616,-2.14,99.5041584,390.672,0.32,0.566,0.329,0.105,1.686,0.772,0.215,0.013,78.52,0.51,0.133,5/25/21 4:02
