"","site","sampling.year","id","visit.type","photo","pft","NCRS.code","soil.pH","soil.cec","soil.no3n","soil.phos","soil.potassium","total.leaf.area","dry.wgt","n.leaf","c.leaf","sla","n.area","cn.leaf","d13C","d15n","norm.precip","norm.spei","norm.aridity","month.precip","spei","aridity","chi"
"438","Russel_2020_01",2020,"Russel_i_12","i","c4","c4_graminoid",NA,5.4,78,5,4,48,4.36,0.0386,1.05,44.26,112.85,118.49,42.15,-14.35,-0.92,70.866,-1.1661351785075,0.39785667207713,221.742,1.66761308691818,2.71367801137877,0.0903738559838101
"439","Russel_2020_01",2020,"Russel_i_13","i","c3","c3_shrub",NA,5.4,78,5,4,48,4.27,0.036,1.33,49.13,118.64,157.79,36.94,NA,NA,70.866,-1.1661351785075,0.39785667207713,221.742,1.66761308691818,2.71367801137877,NA
"440","Russel_2020_01",2020,"Russel_i_14","i","c3","c3_shrub",NA,5.4,78,5,4,48,8.97,0.1117,1.68,48.47,80.29,134.89,28.85,-31.02,-4.34,70.866,-1.1661351785075,0.39785667207713,221.742,1.66761308691818,2.71367801137877,0.85650178264271
"441","Russel_2020_01",2020,"Russel_i_15","i","c3","c3_shrub",NA,5.4,78,5,4,48,9.71,0.1379,1.56,46.97,70.41,109.84,30.11,-30.83,-3.29,70.866,-1.1661351785075,0.39785667207713,221.742,1.66761308691818,2.71367801137877,0.847621187767546
"442","Sansaba_2020_01",2020,"Sansaba_i_01","i","c3","c3_shrub","PRGL2",6.6,152,0,7,299,6.06,0.0697,2.6,46.59,86.96,226.1,17.92,-27.07,-1.21,64.77,-1.2080579971681,0.343851230706363,0,-1.24839715035104,0,0.672592385613059
"443","Sansaba_2020_01",2020,"Sansaba_i_02","i","c3","c3_shrub","PRGL2",6.6,152,0,7,299,3.24,0.0403,2.63,45.01,80.36,211.35,17.11,-25.52,-0.43,64.77,-1.2080579971681,0.343851230706363,0,-1.24839715035104,0,0.600832720042021
"444","Sansaba_2020_01",2020,"Sansaba_i_03","i","c3","c3_forb","HECA8",6.6,152,0,7,299,1.26,0.0227,1.73,42.68,55.43,95.89,24.67,-30.63,-0.91,64.77,-1.2080579971681,0.343851230706363,0,-1.24839715035104,0,0.838276954076824
"445","Sansaba_2020_01",2020,"Sansaba_i_04","i","c3","c3_forb","HECA8",6.6,152,0,7,299,1.62,0.0286,1.59,42.17,56.6,89.99,26.52,-30.77,-0.7,64.77,-1.2080579971681,0.343851230706363,0,-1.24839715035104,0,0.844817512743215
"446","Sansaba_2020_01",2020,"Sansaba_i_05","i","c4","c4_grass",NA,6.6,152,0,7,299,1.83,0.0316,1.17,34.93,57.92,67.77,29.85,-13.89,3.31,64.77,-1.2080579971681,0.343851230706363,0,-1.24839715035104,0,0.0696001980787474
"447","Sansaba_2020_01",2020,"Sansaba_i_06","i","c3","c3_forb","ASAS",6.6,152,0,7,299,7.46,0.1023,1.43,39.89,72.93,104.29,27.9,-29.52,-2.44,64.77,-1.2080579971681,0.343851230706363,0,-1.24839715035104,0,0.786486460855426
"448","Sansaba_2020_01",2020,"Sansaba_i_07","i","c3","c3_forb","ASAS",6.6,152,0,7,299,9.93,0.128,1.59,40.54,77.56,123.32,25.5,-30.35,-2.78,64.77,-1.2080579971681,0.343851230706363,0,-1.24839715035104,0,0.825201502777437
"449","Sansaba_2020_01",2020,"Sansaba_i_08","i","c3","c3_forb","ASAS",6.6,152,0,7,299,9.03,0.1197,1.49,39.64,75.44,112.41,26.6,-29.74,-2.74,64.77,-1.2080579971681,0.343851230706363,0,-1.24839715035104,0,0.796741827617048
"450","Sansaba_2020_01",2020,"Sansaba_i_09","i","c3","c3_graminoid","NALE3",6.6,152,0,7,299,5.39,0.1218,1.08,42.9,44.24,47.78,39.72,-28.91,-1.67,64.77,-1.2080579971681,0.343851230706363,0,-1.24839715035104,0,0.758075429699151
"451","Sansaba_2020_01",2020,"Sansaba_i_10","i","c3","c3_graminoid",NA,6.6,152,0,7,299,0.69,0.0126,1.86,41.14,55.06,102.41,22.12,-29.41,-0.47,64.77,-1.2080579971681,0.343851230706363,0,-1.24839715035104,0,0.781360520883794
"452","Sansaba_2020_01",2020,"Sansaba_i_11","i","c3","c3_graminoid",NA,6.6,152,0,7,299,0.82,0.0237,1.87,42.78,34.47,64.46,22.88,-27.57,-0.23,64.77,-1.2080579971681,0.343851230706363,0,-1.24839715035104,0,0.695789464200576
"453","Sansaba_2020_01",2020,"Sansaba_i_12","i","c3","c3_graminoid","NALE3",6.6,152,0,7,299,2.05,0.0193,0.96,42.65,106.19,101.94,44.43,-27.25,0.73,64.77,-1.2080579971681,0.343851230706363,0,-1.24839715035104,0,0.680940586740902
"454","Sansaba_2020_01",2020,"Sansaba_i_13","i","c3","c3_graminoid",NA,6.6,152,0,7,299,2.43,0.0901,1.27,43.79,26.97,34.25,34.48,-28.02,-2.05,64.77,-1.2080579971681,0.343851230706363,0,-1.24839715035104,0,0.71668724018685
"455","Sansaba_2020_01",2020,"Sansaba_i_14","i","c3","c3_shrub","PRGL2",6.6,152,0,7,299,3.6,0.0683,1.18,44.68,52.72,62.21,37.86,-27.02,-1.13,64.77,-1.2080579971681,0.343851230706363,0,-1.24839715035104,0,0.67027398902414
"456","Sansaba_2020_01",2020,"Sansaba_i_15","i","c3","c3_shrub","PRGL2",6.6,152,0,7,299,2.14,0.0402,1.97,44.38,53.25,104.9,22.53,-23.44,-0.41,64.77,-1.2080579971681,0.343851230706363,0,-1.24839715035104,0,0.504893826333505
