site,plot,forb.biomass,grass.biomass,litter.biomass,soil.moisture1,soil.moisture2,soil.moisture3
2021eco_harris,1,0.21,32.76,0,NA,NA,NA
2021eco_harris,2,0,23.52,0,NA,NA,NA
2021eco_harris,3,0.16,28.45,0.24,NA,NA,NA
2021eco_harris,4,0.22,25.63,0,NA,NA,NA
2021eco_harris,5,0.33,33.05,0.7,NA,NA,NA
2021eco_bell,1,7.03,13.89,0.14,11.1,5.5,3.3
2021eco_bell,2,3.83,20.03,0.27,2.7,2.3,3.3
2021eco_bell,3,30.3,30.38,0,3.3,7.1,12.8
2021eco_bell,4,1.66,25.27,0,4.2,6.6,2.6
2021eco_bell,5,0.93,41.71,0,15.5,11,5.1
2021eco_burnet,1,19.43,5.13,0,7,3.7,11.9
2021eco_burnet,2,32.3,0.13,0,11.4,10.1,11.5
2021eco_burnet,3,15.95,0.9,0,15.6,13.8,11.6
2021eco_burnet,4,19.29,1.77,0.79,11.5,12.2,9.7
2021eco_burnet,5,0,3.47,0,14.7,10.3,10
2021eco_bandera,1,0.71,29.91,0,8.4,11.9,12.5
2021eco_bandera,2,3.49,42.9,0,11.4,19.4,5.3
2021eco_bandera,3,0.2,19.17,0,17.6,17.1,9.8
2021eco_bandera,4,0,22.45,0,11.3,9.9,10.7
2021eco_bandera,5,0.05,26.27,0,8.7,5.9,3.6
2021eco_uvalde,1,2.3,17.62,0,10.1,9.3,12.2
2021eco_uvalde,2,0.19,17.1,0.19,8.4,8.2,10.1
2021eco_uvalde,3,2.81,14.62,0,9.7,7.5,8.9
2021eco_uvalde,4,1.88,15.62,0.31,12,8.5,11.1
2021eco_uvalde,5,0.27,16.76,0.23,15,14.6,13
2020eco_Bexar,1,6.55,24.5,,1.4,0.6,0.4
2020eco_Bexar,2,5.77,4.52,,1.1,1.2,2.3
2020eco_Bexar,3,8.8,25.85,,0.6,0.5,0.4
2020eco_Bexar,4,4.87,20.37,,1.2,0.2,0.7
2020eco_Bexar,5,NA,NA,NA,NA,NA,NA
2020eco_Harris,1,0,78.8,,3.1,7.3,10.7
2020eco_Harris,2,0,24.99,,18.8,7.2,12
2020eco_Harris,3,0,51.91,,16.9,11.3,15.2
2020eco_Harris,4,0.52,15.7,,12.1,6.8,6.2
2020eco_Harris,5,2.07,22,,33.5,32.6,30.3
2020eco_Uvalde,1,0,11.57,,5.4,8.7,4.4
2020eco_Uvalde,2,0,13.5,,4.2,9.5,8.2
2020eco_Uvalde,3,0.39,11.35,,10.4,9.9,8
2020eco_Uvalde,4,0,20.4,,6.9,7.4,6.5
2020eco_Uvalde,5,0,7.47,,1.3,2.8,1.7
2020eco_Menard,1,1.6,9.51,,8.2,11,10.2
2020eco_Menard,2,0.78,10.92,,14.2,12.3,13.6
2020eco_Menard,3,1.72,14.3,,10.6,13.3,9.7
2020eco_Menard,4,3.32,13.48,,11.5,11,12.3
2020eco_Menard,5,0.64,8.17,,10.8,8.1,12.5
2020eco_Williamson10,1,0.44,42.5,,14.8,15.7,17.4
2020eco_Williamson10,2,0,41.95,,13.6,14.3,20.1
2020eco_Williamson10,3,0,27.75,,8.6,4.5,4.1
2020eco_Williamson10,4,0.61,44.5,,17,15.7,22.4
2020eco_Williamson10,5,2.91,40.7,,10.4,23.1,14.2
