id,d13C,d15n,photo,id,coll.number,NCRS.code,family,growth.habit,duration,group,n.fixer,pft
2020eco_Blanco_i_08,-29.12,-0.51,c3,Heliotropium tenellum,HETE3,HETE3,Boraginaceae,forb,annual,dicot,no,c3_forb
2020eco_Blanco_i_09,-29.15,-1.46,c3,Heliotropium tenellum,HETE3,HETE3,Boraginaceae,forb,annual,dicot,no,c3_forb
2020eco_Blanco_i_10,-12.6,0.63,c4,Cynodon dactylon,CYDA,CYDA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Blanco_i_11,-12.93,1.5,c4,Bothriochloa saccaroides,BOSA,BOSA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Blanco_i_12,-13.37,0.7,c4,Bothriochloa saccaroides,BOSA,BOSA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Blanco_i_13,-13.17,1.03,c4,Bothriochloa saccaroides,BOSA,BOSA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Blanco_i_14,-13.62,0.05,c4,Cynodon dactylon,CYDA,CYDA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Blanco_i_15,-12.61,-0.07,c4,Cynodon dactylon,CYDA,CYDA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Brazos18_i_01,-14.03,3.36,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Brazos18_i_02,-13.18,0.77,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Brazos18_i_03,-13.6,1.16,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Brazos18_i_04,-29.76,8.38,c3,Solanum elaeagnifolium,SOEL,SOEL,Solanaceae,forb,perennial,dicot,no,c3_forb
2020eco_Brazos18_i_05,-28.77,5.41,c3,Solanum elaeagnifolium,SOEL,SOEL,Solanaceae,forb,perennial,dicot,no,c3_forb
2020eco_Brazos18_i_06,-30.09,8.22,c3,Solanum elaeagnifolium,SOEL,SOEL,Solanaceae,forb,perennial,dicot,no,c3_forb
2020eco_Brazos18_i_07,-13.52,-0.06,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Brazos18_i_08,-13,-1.76,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Brazos18_i_09,-13.07,-1.39,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Brazos18_i_10,-31.16,-3.29,c3,,,,,shrub,perennial,dicot,no,c3_shrub
2020eco_Brazos18_i_11,-32.3,-6.59,c3,,,,,shrub,perennial,dicot,no,c3_shrub
2020eco_Brazos18_i_12,-31.02,-3.96,c3,,,,,shrub,perennial,dicot,no,c3_shrub
2020eco_Brazos18_i_13,-31.5,-2.63,c3,,,,,forb,,dicot,,c3_forb
2020eco_Brazos18_i_14,-32.1,-0.24,c3,,,,,forb,,dicot,,c3_forb
2020eco_Brazos18_i_15,-31.96,-1.58,c3,,,,,forb,,dicot,,c3_forb
2020eco_Comal_i_01,-13.19,-0.9,c4,Carex planostachys,CAPL3,CAPL3,Cyperaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Comal_i_02,-13.19,0.02,c4,Carex planostachys,CAPL3,CAPL3,Cyperaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Comal_i_03,-13.06,2.04,c4,Carex planostachys,CAPL3,CAPL3,Cyperaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Comal_i_04,-29.49,-0.58,c3,Baccaris salicina,BASA,BASA,Asteraceae,shrub,perennial,dicot,no,c3_shrub
2020eco_Comal_i_05,-30.2,0.22,c3,Baccaris salicina,BASA,BASA,Asteraceae,shrub,perennial,dicot,no,c3_shrub
2020eco_Comal_i_06,-29.56,-2.23,c3,Baccaris salicina,BASA,BASA,Asteraceae,shrub,perennial,dicot,no,c3_shrub
2020eco_Comal_i_07,-12.96,-1.05,c4,Bothriochloa ischaemum var. songarica,BOISS,BOISS,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Comal_i_08,-13.49,0.32,c4,Bothriochloa ischaemum var. songarica,BOISS,BOISS,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Comal_i_09,-13.35,-0.92,c4,Bothriochloa ischaemum var. songarica,BOISS,BOISS,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Comal_i_10,-27.2,1.02,c3,Dasylirion texanum,DATE3,DATE3,Liliaceae,shrub,perennial,monocot,no,c3_shrub
2020eco_Comal_i_11,-29.55,-0.33,c3,Dasylirion texanum,DATE3,DATE3,Liliaceae,shrub,perennial,monocot,no,c3_shrub
2020eco_Comal_i_12,-29.6,-2.1,c3,Dasylirion texanum,DATE3,DATE3,Liliaceae,shrub,perennial,monocot,no,c3_shrub
2020eco_Comal_i_13,-31.32,-0.06,c3,Ratibida peduncularis,RAPE3,RAPE3,Asteraceae,forb,perennial,dicot,no,c3_forb
2020eco_Comal_i_14,-30.11,0.29,c3,Ratibida peduncularis,RAPE3,RAPE3,Asteraceae,forb,perennial,dicot,no,c3_forb
2020eco_Comal_i_15,-30.64,0.09,c3,Ratibida peduncularis,RAPE3,RAPE3,Asteraceae,forb,perennial,dicot,no,c3_forb
2020eco_Edwards_i_01,-19.48,-0.39,c4,Schizachyrium spp.,SCHIZ4,SCHIZ4,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Edwards_i_02,-13.96,0.31,c4,Schizachyrium spp.,SCHIZ4,SCHIZ4,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Edwards_i_03,-15.91,-0.55,c4,Schizachyrium spp.,SCHIZ4,SCHIZ4,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Edwards_i_04,-29.05,0.87,c3,Quercus havardii,QUHA3,QUHA3,Fagaceae,shrub,perennial,dicot,no,c3_shrub
2020eco_Edwards_i_05,-29.37,0.71,c3,Quercus havardii,QUHA3,QUHA3,Fagaceae,shrub,perennial,dicot,no,c3_shrub
2020eco_Edwards_i_06,-29.76,1.16,c3,Quercus havardii,QUHA3,QUHA3,Fagaceae,shrub,perennial,dicot,no,c3_shrub
