"","site","sampling.year","visit.type","norm.precip","norm.et0","norm.water.balance","norm.spei","norm.aridity","month.precip","et0","water.balance","spei","aridity"
"1","Austin_2020_03","2021","i",97.0491666666667,124.970925224101,-27.9217585574348,0.00321459208687611,0.846913969164055,279.654,66.2835355491406,213.370464450859,1.73844948577531,4.21905677908012
"2","Bandera_2020_03","2021","i",71.628,132.693375217164,-61.065375217164,-0.0376945045440726,0.570765194181181,87.884,67.0098643738092,20.8741356261908,1.18688321169995,1.25298761789977
"3","Bandera_2020_03","2021","p",71.628,132.693375217164,-61.065375217164,-0.0376945045440726,0.570765194181181,51.562,87.9564487061815,-36.3944487061815,0.538560569716869,0.586221940044929
"4","Bell_2020_05","2020","i",79.7136666666667,127.720522392127,-48.0068557254601,-0.0319749468004353,0.6956086918285,79.502,77.169703203811,2.33229679618903,0.987761606040775,1.030222959262
"5","Bell_2021_08","2021","i",79.7136666666667,127.754172174667,-48.0405055080001,-0.0320055314510438,0.695250876125209,93.472,72.0086878670709,21.4633121329291,0.800148353039763,1.31388589490483
"6","Bell_2021_08","2021","p",79.7136666666667,127.754172174667,-48.0405055080001,-0.0320055314510438,0.695250876125209,59.436,96.1456991875946,-36.7096991875946,0.30540605125414,0.618186778006903
"7","Bexar_2019_13","2020","i",56.769,130.669926971798,-73.9009269717982,-0.0253001850796746,0.46015645434468,127.508,131.083099022743,-3.57509902274329,1.41917009909625,0.972726468557758
"8","Bexar_2019_13","2020","p",56.769,130.669926971798,-73.9009269717982,-0.0253001850796746,0.46015645434468,18.796,96.1992025413816,-77.4032025413815,-0.364621345132706,0.195386235056518
"9","Blanco_2019_16","2020","i",69.723,124.891124781008,-55.1681247810082,-0.0457910023022159,0.614413904354944,0,79.9281485202256,-79.9281485202256,-0.0404567195322286,0
"10","Brazos_2020_16","2021","i",99.4621666666667,126.922004029721,-27.4598373630547,-0.0167347458255674,0.912668445078708,155.702,74.1423365810841,81.5596634189159,1.86132188995048,2.10004171947994
"11","Brazos_2020_18","2020","i",84.963,122.763069294327,-37.8000692943271,-0.0264441094220158,0.806923951066608,96.012,80.6953586053141,15.3166413946859,1.51137922656555,1.18980820780041
"12","Brazos_2020_18","2021","i",84.963,122.763069294327,-37.8000692943271,-0.0264441094220158,0.806923951066608,107.823,72.9456156236541,34.8773843763459,0.818426784953707,1.4650571898132
"13","Burnet_2020_12","2021","i",65.5531666666667,124.509495882872,-58.956329216205,-0.0408193907941299,0.58162646925298,562.003,66.7759231519137,495.227076848086,0.45588488289177,8.40756681141553
"14","Burnet_2020_12","2021","p",65.5531666666667,124.509495882872,-58.956329216205,-0.0408193907941299,0.58162646925298,769.217,81.6496065058722,687.567393494128,1.42838822907659,9.42095170960412
"15","Burnet_2020_14","2021","i",55.3931666666667,133.498510980232,-78.1053443135656,-0.0446160780913492,0.444512321044016,75.184,75.352504039786,-0.168504039786008,1.04469465439689,0.992563932173669
"16","Comal_2020_19","2021","i",69.723,124.871537891961,-55.148537891961,-0.0457973344786503,0.614597828275078,125.73,81.4351879876102,44.2948120123898,1.40827728599371,1.54392717825038
"17","Comal_2020_21","2020","i",73.3636666666667,123.771130896899,-50.4074642302328,-0.0367079925622648,0.652200289586898,174.244,83.9944057886626,90.2495942113374,2.21029108440205,2.07447148847524
"18","Edwards_2019_17","2020","i",57.0441666666667,0,57.0441666666667,0.0494812605154146,Inf,54.356,0,54.356,0.999118903200257,Inf
"19","Fayette_2019_04","2020","i",99.8008333333333,121.282921851393,-21.4820885180593,-0.0313873649321803,0.950406186734668,142.748,82.9908750326298,59.7571249673702,1.85377116111575,1.72004452229086
"20","Fayette_2020_09","2021","i",88.2226666666667,128.584008152122,-40.3613414854552,-0.0100375271360205,0.780564350431225,92.964,67.6950427364131,25.2689572635869,1.00807493588916,1.27138162596421
"21","Fayette_2021_12","2021","i",77.9356666666667,131.845659971705,-53.9099933050381,-0.0240019627132218,0.664113420176234,93.091,75.3705368959704,17.7204631040296,0.963609216225249,1.17191659443935
"22","Harris_2020_03","2020","i",110.003166666667,121.06875765857,-11.0655909919029,0.0224370753485252,0.973927678154056,666.168,79.8031478547922,586.364852145208,0.375767766314631,8.34764063708543
"23","Harris_2020_03","2020","p",110.003166666667,121.06875765857,-11.0655909919029,0.0224370753485252,0.973927678154056,489.692,96.0782936752031,393.613706324797,-0.0332323395227542,5.09680159033033
"24","Harris_2020_03","2021","i",110.003166666667,121.06875765857,-11.0655909919029,0.0224370753485252,0.973927678154056,950.6085,73.6042265510072,877.004273448993,0.178267738239967,12.7274665581944
"25","Harris_2020_03","2021","p",110.003166666667,121.06875765857,-11.0655909919029,0.0224370753485252,0.973927678154056,1606.901,91.8665825308642,1515.03441746914,1.47418993453844,17.4916814768867
"26","Hays_2021_54","2021","i",73.3636666666667,123.611974609036,-50.2483079423691,-0.0365621532536638,0.653835309922211,61.468,76.2838675570832,-14.8158675570832,0.931842581661338,0.762494735886499
"27","Kerr_2020_03","2021","i",59.4783333333333,121.055846661555,-61.5775133282221,-0.0445714019513597,0.52140180188498,84.709,75.7144577148806,8.99454228511942,1.55054762069872,1.11410257460031
"28","Menard_2020_01","2020","i",56.3033333333333,120.882967340528,-64.5796340071945,-0.0406957072487519,0.502034103153269,77.216,83.0912036908469,-5.8752036908469,1.3515530128261,0.929292109996306
"29","Menard_2020_01","2020","p",56.3033333333333,120.882967340528,-64.5796340071945,-0.0406957072487519,0.502034103153269,29.464,112.900401960651,-83.4364019606513,0.0514179261557177,0.260973384401846
