id,dry.wgt
2020eco_Williamson_i_03,0.0324
2020eco_Williamson_i_04,0.019
2020eco_Williamson_i_05,0.0143
2020eco_Williamson_i_06,0.0228
2020eco_Williamson_i_07,0.0244
2020eco_Williamson_i_08,0.0314
2020eco_Williamson_i_09,0.0146
2020eco_Williamson_i_10,0.0372
2020eco_Williamson_i_11,0.0306
2020eco_Williamson_i_12,0.0212
2020eco_Williamson_i_13,0.1306
2020eco_Williamson_i_14,0.1328
2020eco_Williamson_i_15,0.0573
2020eco_Williamson_i_01,0.0139
2020eco_Williamson_i_02,0.0243
2020eco_Williamson_i_03,0.0336
2020eco_Williamson_i_04,0.0642
2020eco_Williamson_i_05,0.067
2020eco_Williamson_i_06,0.0598
2020eco_Williamson_i_07,0.0492
2020eco_Williamson_i_08,0.0475
2020eco_Williamson_i_09,0.0302
2020eco_Williamson_i_10,0.0352
2020eco_Williamson_i_11,0.0247
2020eco_Williamson_i_12,0.0395
2020eco_Williamson_i_13,0.067
2020eco_Williamson_i_14,0.0601
2020eco_Williamson_i_15,0.0481
2020eco_Bexar_p_1a,0.0212
2020eco_Bexar_p_1b,0.023
2020eco_Bexar_p_1c,0.0098
2020eco_Bexar_p_1d,0.047
2020eco_Bexar_p_2a,0.012
2020eco_Bexar_p_2b,0.0164
2020eco_Bexar_p_2c,0.0408
2020eco_Bexar_p_2d,0.0313
2020eco_Bexar_p_3a,0.0573
2020eco_Bexar_p_4a,0.0398
2020eco_Bexar_p_4b,0.04
2020eco_Bexar_p_4c,0.0483
2020eco_Bexar_p_mesquite,0.1233
2020eco_Harris_p_mesquite,0.1001
2020eco_Harris_p_1a,0.0088
2020eco_Harris_p_1b,0.0318
2020eco_Harris_p_1c,0.0309
2020eco_Harris_p_2a,0.0126
2020eco_Harris_p_2b,0.016
2020eco_Harris_p_2c,0.0265
2020eco_Harris_p_3a,0.0638
2020eco_Harris_p_3b,0.0354
2020eco_Harris_p_3c,0.014
2020eco_Harris_p_4a,0.0305
2020eco_Harris_p_5a,0.018
2020eco_Harris_p_5b,0.0238
2020eco_Menard_p_1a,0.0789
2020eco_Menard_p_1b,0.0768
2020eco_Menard_p_1c,0.0972
2020eco_Menard_p_1d,0.0337
2020eco_Menard_p_1e,0.0457
2020eco_Menard_p_2a,0.022
2020eco_Menard_p_2b,0.1081
2020eco_Menard_p_2c,0.0357
2020eco_Menard_p_2d,0.0814
2020eco_Menard_p_2e,0.1333
2020eco_Menard_p_2f,0.0257
2020eco_Menard_p_3a,0.0399
2020eco_Menard_p_3b,0.0571
2020eco_Menard_p_3c,0.0368
2020eco_Menard_p_3d,0.1132
2020eco_Menard_p_4a,0.04
2020eco_Menard_p_4b,0.09
2020eco_Menard_p_4c,0.0249
2020eco_Menard_p_5a,0.0284
2020eco_Menard_p_5b,0.0958
2020eco_Uvalde_p_1a,0.075
2020eco_Uvalde_p_1b,0.0507
2020eco_Uvalde_p_1c,0.079
2020eco_Uvalde_p_2a,NA
2020eco_Uvalde_p_2b,0.0714
2020eco_Uvalde_p_3a,0.0252
2020eco_Uvalde_p_3b,0.0204
2020eco_Uvalde_p_4a,0.0248
2020eco_Uvalde_p_4b,0.042
2020eco_Uvalde_p_4c,0.0317
2020eco_Uvalde_p_4d,0.0052
2020eco_Uvalde_p_4e,0.0182
2020eco_Uvalde_p_5a,0.0268
2020eco_Uvalde_p_5b,0.1006
2020eco_Uvalde_p_5c,0.057
2020eco_Williamson10_p_1a,0.0148
2020eco_Williamson10_p_1b,0.0194
2020eco_Williamson10_p_1c,0.04
2020eco_Williamson10_p_2a,0.0171
2020eco_Williamson10_p_2b,0.1301
2020eco_Williamson10_p_3a,0.0274
2020eco_Williamson10_p_3b,0.0184
2020eco_Williamson10_p_3c,0.0158
2020eco_Williamson10_p_3d,0.0274
2020eco_Williamson10_p_4a,0.0157
2020eco_Williamson10_p_5a,0.0136
2020eco_Williamson10_p_5b,0.0146
2020eco_Williamson10_p_5c,0.0196
2020eco_Williamson10_p_mesquite,0.202
2021eco_Austin_i_01,0.1297
2021eco_Austin_i_02,0.1405
2021eco_Austin_i_03,0.1623
2021eco_Austin_i_04,0.233
2021eco_Austin_i_05,0.4411
2021eco_Austin_i_06,0.3547
2021eco_Austin_i_07,0.1034
2021eco_Austin_i_08,0.1032
2021eco_Austin_i_09,0.2055
2021eco_Austin_i_10,0.1379
2021eco_Austin_i_11,0.1138
2021eco_Austin_i_12,0.2215
2021eco_Austin_i_13,0.2025
2021eco_Austin_i_14,0.1954
2021eco_Austin_i_15,0.1373
2021eco_Bandera_i_01,0.1568
2021eco_Bandera_i_02,0.1427
2021eco_Bandera_i_03,0.177
2021eco_Bandera_i_04,0.0599
2021eco_Bandera_i_05,0.0952
2021eco_Bandera_i_06,0.0757
2021eco_Bandera_i_07,0.0808
2021eco_Bandera_i_08,0.0138
2021eco_Bandera_i_09,0.0269
2021eco_Bandera_i_10,0.0503
2021eco_Bandera_i_11,0.0559
2021eco_Bandera_i_12,0.0748
2021eco_Bandera_i_13,0.0567
2021eco_Bandera_i_14,0.0556
2021eco_Bandera_i_15,0.0622
2021eco_Bell_i_01,0.1626
2021eco_Bell_i_03,0.1469
2021eco_Bell_i_04,0.0891
2021eco_Bell_i_05,0.1909
2021eco_Bell_i_06,0.1453
2021eco_Bell_i_07,0.1853
2021eco_Bell_i_08,0.2084
2021eco_Bell_i_09,0.3714
2021eco_Bell_i_10,0.1127
2021eco_Bell_i_11,0.0511
2021eco_Bell_i_12,0.1385
2021eco_Bell_i_13,0.1126
2021eco_Bell_i_14,0.1412
2021eco_Bell_i_15,0.11
2021eco_Brazos16_i_01,0.1146
2021eco_Brazos16_i_02,0.0778
2021eco_Brazos16_i_03,0.0693
2021eco_Brazos16_i_04,0.1396
2021eco_Brazos16_i_05,0.1213
2021eco_Brazos16_i_06,0.1577
2021eco_Brazos16_i_07,0.0868
2021eco_Brazos16_i_08,0.0948
2021eco_Brazos16_i_09,0.0902
2021eco_Brazos16_i_10,0.1391
2021eco_Brazos16_i_11,0.1121
2021eco_Brazos16_i_12,0.1074
2021eco_Brazos16_i_13,0.0458
2021eco_Brazos16_i_14,0.0522
2021eco_Brazos16_i_15,0.0685
2021eco_Brazos18_i_01,0.2104
2021eco_Brazos18_i_02,0.1095
2021eco_Brazos18_i_03,0.1423
2021eco_Brazos18_i_04,0.164
2021eco_Brazos18_i_05,0.1799
2021eco_Brazos18_i_06,0.1427
2021eco_Brazos18_i_07,0.165
2021eco_Brazos18_i_08,0.1685
2021eco_Brazos18_i_09,0.1537
2021eco_Brazos18_i_10,0.2262
2021eco_Brazos18_i_11,0.2287
2021eco_Brazos18_i_12,0.3535
2021eco_Brazos18_i_13,0.1169
2021eco_Brazos18_i_14,0.122
2021eco_Brazos18_i_15,0.1275
2021eco_Burnet12_i_01,0.1433
2021eco_Burnet12_i_02,0.1933
2021eco_Burnet12_i_03,0.1209
