id,total.leaf.area,dry.wgt,n.leaf,c.leaf,sla,n.area,cn.leaf
2020eco_Bell_i_01,16.01,0.0474,2.3,42.95,337.8,776.94,18.67
2020eco_Bell_i_02,6.26,0.0399,2.44,41.72,157,383.08,17.1
2020eco_Bell_i_03,4.34,0.0458,1.74,42.76,94.81,164.97,24.57
2020eco_Bell_i_04,4.05,0.0286,2.28,42.52,141.46,322.53,18.65
2020eco_Bell_i_05,5.07,0.0804,3.41,45.33,63.09,215.14,13.29
2020eco_Bell_i_06,3.3,0.0452,3.42,45.27,73,249.66,13.24
2020eco_Bell_i_07,2.75,0.0316,3.08,45.27,87.06,268.14,14.7
2020eco_Bell_i_08,34.02,NA,NA,NA,NA,NA,NA
2020eco_Bell_i_09,19.24,NA,NA,NA,NA,NA,NA
2020eco_Bexar_i_01,3.08,0.0629,2.34,43.16,49.01,114.68,18.44
2020eco_Bexar_i_02,2.33,0.0459,2.62,44.68,50.71,132.86,17.05
2020eco_Bexar_i_03,1.92,0.0468,3.69,79.7,40.93,151.03,21.6
2020eco_Bexar_i_04,2.32,0.0231,1.79,47.35,100.53,179.95,26.45
2020eco_Bexar_i_05,1.25,0.0146,2.19,43.3,85.67,187.62,19.77
2020eco_Bexar_i_06,2.43,0.0189,2.38,45.79,128.35,305.47,19.24
2020eco_Bexar_i_07,9.85,0.0569,1.95,39.16,173.03,337.41,20.08
2020eco_Bexar_i_08,33.21,0.2073,1.93,41.42,160.21,309.21,21.46
2020eco_Bexar_i_09,40.1,0.2824,1.78,41.59,142.01,252.78,23.37
2020eco_Bexar_i_10,5.22,0.0632,2.79,44.92,82.58,230.4,16.1
2020eco_Bexar_i_11,2.25,0.028,2.93,44.47,80.47,235.78,15.18
2020eco_Bexar_i_12,3.58,0.0258,3.97,45.05,138.59,550.2,11.35
2020eco_Bexar_i_13,1.24,0.0195,1.58,37.56,63.56,100.42,23.77
2020eco_Bexar_i_14,1.48,0.0274,1.54,36.54,53.87,82.96,23.73
2020eco_Bexar_i_15,1.44,0.0377,1.66,38.01,38.25,63.49,22.9
2020eco_Blanco_i_01,2.42,0.0335,1.98,37.13,72.37,143.29,18.75
2020eco_Blanco_i_02,1.83,0.0251,1.47,34.76,72.87,107.12,23.65
2020eco_Blanco_i_03,2.21,0.0338,1.72,35.16,65.39,112.47,20.44
2020eco_Blanco_i_04,4.18,0.0488,1.47,42.15,85.67,125.93,28.67
2020eco_Blanco_i_05,5.08,0.0796,0.95,44.08,63.84,60.65,46.4
2020eco_Blanco_i_06,5.31,0.0811,1.36,43.43,65.46,89.03,31.93
2020eco_Blanco_i_07,5.87,0.0133,1.23,38.97,441.07,542.52,31.68
2020eco_Blanco_i_08,1.04,0.014,1.32,36.79,74.24,98,27.87
2020eco_Blanco_i_09,1.02,0.0169,0.89,36.47,60.19,53.57,40.98
2020eco_Blanco_i_10,10.07,0.0375,1.1,42.19,268.62,295.48,38.35
2020eco_Blanco_i_11,3.72,0.0283,1.55,43.41,131.5,203.83,28.01
2020eco_Blanco_i_12,2.57,0.019,1.51,42.63,135.12,204.03,28.23
2020eco_Blanco_i_13,4.25,0.0309,1.27,42.8,137.67,174.84,33.7
2020eco_Blanco_i_14,2.43,0.0204,1.2,43.07,119.02,142.82,35.89
2020eco_Blanco_i_15,3.1,0.0291,1.09,42.57,106.57,116.16,39.06
2020eco_Brazos18_i_01,4.42,0.0489,1.19,42.09,90.36,107.53,35.37
2020eco_Brazos18_i_02,3.59,0.033,1.61,39.36,108.81,175.18,24.45
2020eco_Brazos18_i_03,3.62,0.0339,1.53,39.45,106.65,163.17,25.78
2020eco_Brazos18_i_04,7.28,0.1217,3.46,43.43,59.85,207.08,12.55
2020eco_Brazos18_i_05,4.85,0.0855,2.86,41.77,56.7,162.16,14.6
2020eco_Brazos18_i_06,9.27,0.1526,3.67,43.81,60.73,222.88,11.94
2020eco_Brazos18_i_07,4.18,0.0405,1.26,40.72,103.24,130.08,32.32
2020eco_Brazos18_i_08,2.89,0.0232,1.44,39.73,124.4,179.14,27.59
2020eco_Brazos18_i_09,5.43,0.0499,1.44,41.79,108.83,156.72,29.02
2020eco_Brazos18_i_10,10.24,0.148,1.14,46.61,69.21,78.9,40.89
2020eco_Brazos18_i_11,5.27,0.0686,1.27,48.67,76.76,97.49,38.32
2020eco_Brazos18_i_12,7.81,0.0973,1.29,48.18,80.24,103.51,37.35
2020eco_Brazos18_i_13,2.19,0.0232,1.47,45.71,94.32,138.65,31.1
2020eco_Brazos18_i_14,2.39,0.023,1.48,45.93,104.06,154.01,31.03
2020eco_Brazos18_i_15,1.76,0.0184,1.5,45.44,95.64,143.46,30.29
2020eco_Comal_i_01,6.93,0.0774,1.1,43.02,89.52,98.47,39.11
2020eco_Comal_i_02,7.92,0.057,1.14,43.55,138.88,158.32,38.2
2020eco_Comal_i_03,3.54,0.0336,0.9,41.59,105.4,94.86,46.21
2020eco_Comal_i_04,4.42,0.1256,0.94,46.7,35.21,33.1,49.68
2020eco_Comal_i_05,6.63,0.1649,1.03,45.97,40.19,41.4,44.63
2020eco_Comal_i_06,5.61,0.1555,0.68,46.13,36.05,24.51,67.84
2020eco_Comal_i_07,6.32,0.0205,1.35,42.64,308.33,416.25,31.59
2020eco_Comal_i_08,1.69,0.0188,1.2,41.3,89.99,107.99,34.42
2020eco_Comal_i_09,1.59,0.014,0.98,39.96,113.86,111.58,40.78
2020eco_Comal_i_10,2.92,0.1376,0.96,46.81,21.19,20.34,48.76
2020eco_Comal_i_11,3.52,0.1896,0.86,47.17,18.57,15.97,54.85
2020eco_Comal_i_12,8.25,0.2844,0.93,45.56,29.02,26.99,48.99
2020eco_Comal_i_13,1.58,0.0232,1.88,38.32,67.94,127.73,20.38
2020eco_Comal_i_14,2.14,0.0378,1.38,35.86,56.7,78.25,25.99
2020eco_Comal_i_15,1.89,0.0313,1.44,39.26,60.25,86.76,27.26
2020eco_Edwards_i_01,2.72,0.0438,1.34,45.29,62.06,83.16,33.8
2020eco_Edwards_i_02,3.46,0.0914,0.6,45.61,37.88,22.73,76.02
2020eco_Edwards_i_03,0.25,0.0692,0.77,44.96,3.63,2.8,58.39
2020eco_Edwards_i_04,6.66,0.1134,1.58,46.69,58.7,92.75,29.55
2020eco_Edwards_i_05,6.4,0.1306,1.47,45.8,49,72.03,31.16
2020eco_Edwards_i_06,7.13,0.0776,1.35,45.39,91.93,124.11,33.62
2020eco_Edwards_i_07,3.3,0.0755,1.04,40.64,43.68,45.43,39.08
2020eco_Edwards_i_08,4.32,0.0832,1.17,43.57,51.87,60.69,37.24
2020eco_Edwards_i_09,1.8,0.0258,1.28,45.26,69.59,89.08,35.36
2020eco_Edwards_i_10,8.72,0.1058,1.02,42.22,82.39,84.04,41.39
2020eco_Edwards_i_11,4.91,0.0613,1.37,43.03,80.14,109.79,31.41
2020eco_Edwards_i_12,2.14,0.0298,1.18,45.43,71.97,84.92,38.5
2020eco_Fayette_i_01,16.74,0.1501,1.56,44.54,111.51,173.96,28.55
2020eco_Fayette_i_02,8.93,0.0784,1.26,45.02,113.88,143.49,35.73
2020eco_Fayette_i_03,10.16,0.0736,1.37,43.4,137.98,189.03,31.68
2020eco_Fayette_i_04,2.38,0.0313,4.41,47.6,76.08,335.51,10.79
2020eco_Fayette_i_06,4.73,0.0302,5.06,44.77,156.7,792.9,8.85
2020eco_Fayette_i_07,11.63,0.1983,1.19,46.98,58.65,69.79,39.48
2020eco_Fayette_i_08,35.38,0.4823,1.57,47.06,73.35,115.16,29.97
2020eco_Fayette_i_09,0,0.5738,1.34,46.93,0,0,35.02
2020eco_Fayette_i_10,50.73,0.5877,1.82,46.06,86.32,157.1,25.31
2020eco_Fayette_i_11,50.42,0.7103,1.84,46.21,70.98,130.6,25.11
2020eco_Fayette_i_12,52.05,0.656,1.84,45.41,79.34,145.99,24.68
2020eco_Fayette_i_13,7.72,0.0849,1.28,48.16,90.91,116.36,37.62
2020eco_Fayette_i_14,10.33,0.134,1.34,48.64,77.09,103.3,36.3
2020eco_Fayette_i_15,14.83,0.1752,1.37,48.52,84.67,116,35.42
2020eco_Harris_i_01,3.99,0.055,4.27,44.99,72.5,309.57,10.54
2020eco_Harris_i_02,1.9,0.0311,4.66,45.76,60.97,284.12,9.82
2020eco_Harris_i_03,2.09,0.032,3.27,47.56,65.28,213.47,14.54
2020eco_Harris_i_04,29.64,0.2125,1.46,43.26,139.49,203.66,29.63
2020eco_Harris_i_05,16.41,0.1108,2.01,44.1,148.06,297.6,21.94
2020eco_Harris_i_06,43.31,0.3672,1.14,42.41,117.95,134.46,37.2
2020eco_Harris_i_07,2.02,0.0268,2.1,39.3,75.41,158.36,18.71
2020eco_Harris_i_08,2.26,0.0315,2.21,36.09,71.61,158.26,16.33
